?û³Æ	ItemGenre	DetailType	¶¯»­ÎÄ¼??û	¶ÔÓ¦Îï¼?Ë÷??	¿í¶È	¸ß¶È	Ëµ?÷ÎÄ×Ö	ParticularType	ÎïÆ·×î´óµ?·ÅÖµ
M¶nh Nhu T×nh  TuÖ T©m Ngäc Béi (3/4) 	4	925	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh Nhu T×nh TuÖ T©m Ngäc Béi. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh Nhu T×nh  TuÖ T©m Ngäc Béi (4/4) 	4	926	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh Nhu T×nh TuÖ T©m Ngäc Béi. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Thanh Sa Tr­êng Sam (1/4) 	4	927	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Thanh Sa Tr­êng Sam. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Thanh Sa Tr­êng Sam (2/4) 	4	928	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Thanh Sa Tr­êng Sam. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Thanh Sa Tr­êng Sam (3/4) 	4	929	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Thanh Sa Tr­êng Sam. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Thanh Sa Tr­êng Sam (4/4) 	4	930	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Thanh Sa Tr­êng Sam. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa (1/4) 	4	931	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa (2/4) 	4	932	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa (3/4) 	4	933	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa (4/4) 	4	934	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc X?ch Quyªn NhuyÔn Ngoa. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Tö §»ng Hé uyÓn (1/4) 	4	935	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Tö §»ng Hé UyÓn. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Tö §»ng Hé uyÓn (2/4) 	4	936	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Tö §»ng Hé UyÓn. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Tö §»ng Hé uyÓn (3/4) 	4	937	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Tö §»ng Hé UyÓn. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Tö §»ng Hé uyÓn (4/4) 	4	938	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Tö §»ng Hé UyÓn. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Ng©n Tµm Yªu ®¸i (1/4) 	4	939	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Ng©n Tµm Yªu §¸i. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Ng©n Tµm Yªu ®¸i (2/4) 	4	940	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Ng©n Tµm Yªu §¸i. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Ng©n Tµm Yªu ®¸i (3/4) 	4	941	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Ng©n Tµm Yªu §¸i. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
M¶nh §?nh Quèc Ng©n Tµm Yªu ®¸i (4/4) 	4	942	\spr\item\citydefence\smallfragment.spr	347	1	1	"M¶nh §?nh Quèc Ng©n Tµm Yªu §¸i. ChØ cÇn thu thËp ®ñ bé 4 m¶nh, mang ®?n thî r?n thÇn b? L©m An ®Ó hîp thµnh m?n trang b? nµy."	1	100
Linh Chi th¶o	4	943	\spr\item\questkey\taskobj103.spr	347	1	1	Lo¹i tiªn th¶o c? thÓ c¶i tö hoµn sinh	1	0
Hæ cèt	4	944	\spr\item\questkey\taskobj146.spr	347	1	1	"Mét mi?ng x­¬ng hæ, vËt liÖu th­êng dïng trong §«ng y"	1	0
Léc nhung	4	945	\spr\item\questkey\antler.spr	347	1	1	"Lo¹i s?ng non cña h­¬u. D­îc t?nh cùc cao, t¨ng c­êng tr? lùc"	1	0
Nh©n s©m	4	946	\spr\item\questkey\panax.spr	347	1	1	"Lo¹i thùc vËt c? thÓ sèng ngh×n n¨m, thÇn d­îc c¶i tö hoµn sinh"	1	0
Tiªn Linh töu	4	947	\spr\item\questkey\taskobj070.spr	376	1	1	"Lo¹i d­îc töu ®i?u ch? t? Linh chi, kiÖn g©n cèt, bæ tinh tñy"	1	0
Hæ Cèt Töu	4	948	\spr\item\questkey\taskobj071.spr	376	1	1	"Lo¹i d­îc töu ®i?u ch? t? Hæ cèt vµ Linh Chi, gi¸ng ©m th¨ng d­¬ng, tiªu tr? tµ kh? "	1	0
Léc Nhung töu	4	949	\spr\item\questkey\taskobj072.spr	376	1	1	"Lo¹i d­îc töu ®i?u ch? t? Léc Nhung vµ Linh Chi,?ch kh? huy?t, c­êng g©n cèt"	1	0
Nh©n S©m töu	4	950	\spr\item\questkey\taskobj073.spr	376	1	1	"Lo¹i d­îc töu ®i?u ch? t? Nh©n S©m vµ Linh Chi. Phôc håi nguyªn kh?, tr¸ng d­¬ng c­êng thËn "	1	0
M·ng cÇu	4	951	\spr\item\yn_chunjie\yn_manqiuguo.spr	434	1	1	"Mét trong ""ng? qu¶"" ngµy T?t"	1	0
Dõa	4	952	\spr\item\yn_chunjie\yn_yezi.spr	435	1	1	"Mét trong ""ng? qu¶"" ngµy T?t"	1	0
§u ®ñ	4	953	\spr\item\yn_chunjie\yn_mugua.spr	436	1	1	"Mét trong ""ng? qu¶"" ngµy T?t"	1	0
Xoµi	4	954	\spr\item\yn_chunjie\yn_mangguo.spr	437	1	1	"Mét trong ""ng? qu¶"" ngµy T?t"	1	0
Sung	4	955	\spr\item\yn_chunjie\yn_chengqunguo.spr	438	1	1	"Mét trong ""ng? qu¶"" ngµy T?t"	1	0
Bét ®¸	4	956	\spr\item\medecine\obj-potion18.spr	41	1	1	VËt liÖu ®Ó ch? háa ph¸o. Thu thËp ®ñ 5 m?n c? thÓ ®?n nhê LÔ quan ch? thµnh háa ph¸o.	1	0
L­u huúnh	4	957	\spr\item\medecine\obj-potion19.spr	41	1	1	VËt liÖu ®Ó ch? háa ph¸o. Thu thËp ®ñ 5 m?n c? thÓ ®?n nhê LÔ quan ch? thµnh háa ph¸o.	1	0
Than cñi	4	958	\spr\item\ma_chunjie\charcoal.spr	41	1	1	VËt liÖu ®Ó ch? háa ph¸o. Thu thËp ®ñ 5 m?n c? thÓ ®?n nhê LÔ quan ch? thµnh háa ph¸o.	1	0
GiÊy hång	4	959	\spr\item\ma_chunjie\redpaper.spr	41	1	1	VËt liÖu ®Ó ch? háa ph¸o. Thu thËp ®ñ 5 m?n c? thÓ ®?n nhê LÔ quan ch? thµnh háa ph¸o.	1	0
Tim ph¸o	4	960	\spr\item\questkey\bingcanwujisi.spr	41	1	1	VËt liÖu ®Ó ch? háa ph¸o. Thu thËp ®ñ 5 m?n c? thÓ ®?n nhê LÔ quan ch? thµnh háa ph¸o.	1	0
Háa d­îc mËt t?ch	4	961	\spr\item\questkey\taskobj042.spr	41	1	1	B? quy?t ch? t¹o c¸c lo¹i háa ph¸o	1	0
Ng©n phiÕu	4	962	\spr\item\questkey\yinpiao.spr	378	1	1	C«ng hiÖu kh«ng k?m Kim Nguyªn B¶o.	1	0
Cóc Hoa Th¹ch	4	963	\spr\item\questkey\taskobj056.spr	41	1	1	Lo¹i ®¸ qu? nh×n b? ngoµi gièng hoa cóc. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)	1	100
M· N·o	4	964	\spr\item\questkey\taskobj144.spr	41	1	1	Lo¹i ®¸ qu? mµ c¸c quan viªn th­êng thu thËp. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)	1	100
B¨ng ThiÒm T¬	4	965	\spr\item\questkey\bingcanwujisi.spr	41	1	1	"Lo¹i t¬ qu? hi?m, v« cïng ch¾c ch¾n. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)"	1	100
Kª HuyÕt Th¹ch 	4	966	\spr\item\questkey\nanmingzhijing.spr	41	1	1	Lo¹i ®¸ s¾c ®á h¬n c¶ chu sa. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)	1	100
B¨ng th¹ch kªt tinh	4	967	\spr\item\questkey\taskobj018.spr	41	1	1	"K?t tinh t? b¨ng th¹ch thiªn niªn, kh¸ng l«i rÊt hiÖu qu¶. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)"	1	100
M¶nh Thiªn th¹ch	4	968	\spr\item\questkey\taskobj125.spr	41	1	1	Lo¹i thiªn th¹ch ngµn n¨m kh? t×m. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)	1	100
§iÒn Hoµng th¹ch	4	969	\spr\item\questkey\taskobj026.spr	41	1	1	"Mét lo¹i linh th¹ch, mµu nh­ lßng ®á trøng gµ, rÊt hi?m. (dïng ®Ó ch? t¹o trang b? An Bang hoµn mü)"	1	100
T¸o ®á	4	970	\spr\item\questkey\taskobj394.spr	360	1	1	"Lo¹i t¸o ®á th­êng thÊy, c? thÓ dïng lµm nh©n B¸nh ch­ng"	1	100
H¹t dÎ	4	971	\spr\item\questkey\taskobj395.spr	361	1	1	"Lo¹i h¹t dÎ th­êng thÊy, c? thÓ dïng lµm nh©n B¸nh ch­ng"	1	100
B¸nh ?t	4	972	\spr\item\questkey\taskobj396.spr	362	1	1	"Lo¹i l¸ khi nÊu ch?n c? v? ngät, c? thÓ dïng lµm nh©n B¸nh ch­ng"	1	100
G¹o n?p	4	973	\spr\item\questkey\taskobj397.spr	363	1	1	"Lo¹i g¹o n?p th­êng thÊy, c? thÓ dïng lµm B¸nh ch­ng"	1	100
Th?t t­¬i	4	974	\spr\item\questkey\taskobj398.spr	364	1	1	Dïng ®Ó lµm nh©n b¸nh ?t	1	100
S÷a t­¬i	4	975	\spr\item\vitenambirthday\mailk.spr	347	1	1	Nguyªn liÖu lµm b¸nh Sinh nhËt.	1	100
Bét tinh	4	976	\spr\item\mid_autumn\mianfen.spr	347	1	1	Nguyªn liÖu lµm b¸nh Sinh nhËt.	1	100
§­êng tinh	4	977	\spr\item\mid_autumn\shatang.spr	347	1	1	Nguyªn liÖu lµm b¸nh Sinh nhËt.	1	100
Trøng gµ	4	978	\spr\item\mid_autumn\yadan.spr	347	1	1	Nguyªn liÖu lµm b¸nh Sinh nhËt.	1	100
Kim Tª	4	979	\spr\item\questkey\golden_stone.spr	347	1	1	"Kim lo¹i cùc hiÕm, ch¾c b?Òn, dïng lµm chÊt phô gia ®Ó ph©n chia trang bô Hoµng Kim thµnh nhi?u m¶nh nhá."	1	0
M¶nh B¨ng Hµn §µn ChØ Phi §ao (1/9)	4	980	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (2/9)	4	981	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (3/9)	4	982	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (4/9)	4	983	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (5/9)	4	984	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (6/9)	4	985	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (7/9)	4	986	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (8/9)	4	987	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh B¨ng Hµn §µn ChØ Phi §ao (9/9)	4	988	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh B¨ng Hµn §µn ChØ Phi §ao, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “B¨ng Hµn §µn ChØ Phi §ao”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (1/6)	4	989	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (2/6)	4	990	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (3/6)	4	991	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (4/6)	4	992	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (5/6)	4	993	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï (6/6)	4	994	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Thiªn Ngoa §?nh T©m Ng­ng ThÇn Phï”."	1	100
Tu Phôc Kho¸ng Th¹ch	4	995	\spr\item\questkey\golden_stone.spr	347	1	1	"TiÖm thî r?n söa <Trang b? h­ háng> cÇn ph¶i c? nguyªn liÖu cÇn thi?t. <enter> Trang b? phæ th«ng 1 c¸i, trang b? t?m 2 c¸i, trang b? hoµng kim 5 c¸i."	1	0
LÖnh Bµi Tr­êng Ca M«n	4	996	\spr\item\questkey\006.spr	352	1	1	"LÖnh bµi ra vµo cÊm ®?a Tr­êng Ca M«n, giao cho m«n h¹ cña Tr­êng Ca M«n c? thÓ vµo cÊm ®?a ®¸nh qu¸i trong 2 giê.<enter>NhËn ®­îc gÊp 10 lÇn kinh nghiÖm vµ c? c¬ héi ki?m ®­îc trang b? cao cÊp."	1	0
Tu LuyÖn LÖnh Bµi	4	997	\spr\item\questkey\006.spr	352	1	1	Vâ l©m minh truy?n nh©n tÆng 1 lÖnh bµi vµo cÊm ®?a Tr­êng Ca M«n ®Ó tu luyÖn trong vßng 1 giê.	1	0
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(1/6)	4	998	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(2/6)	4	999	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(3/6)	4	1000	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(4/6)	4	1001	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(5/6)	4	1002	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh Méng Long Ch?nh Hoµng T¨ng M·o(6/6)	4	1003	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh Méng Long Ch?nh Hoµng T¨ng M·o, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “Méng Long Ch?nh Hoµng T¨ng M·o”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (1/6)	4	1004	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (2/6)	4	1005	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (3/6)	4	1006	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (4/6)	4	1007	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (5/6)	4	1008	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n (6/6)	4	1009	\spr\item\citydefence\fragment.spr	347	1	1	"M¶nh L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n, chØ cÇn thu thËp ®ñ 6 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L«i Khung Hµn Tïng B¨ng B¸ch Qu¸n”."	1	100
M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m(1/9)	4	1010	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L¨ng Nh¹c Th¸i Cùc Ki?m”."	1	100
M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m(2/9)	4	1011	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L¨ng Nh¹c Th¸i Cùc Ki?m”."	1	100
M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m(3/9)	4	1012	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L¨ng Nh¹c Th¸i Cùc Ki?m”."	1	100
M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m(4/9)	4	1013	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L¨ng Nh¹c Th¸i Cùc Ki?m”."	1	100
M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m(5/9)	4	1014	\spr\item\citydefence\bigfragment.spr	347	1	1	"M¶nh L¨ng Nh¹c Th¸i Cùc Ki?m, chØ cÇn thu thËp ®ñ 9 m¶nh th× c? thÓ ®?n thî r?n thÇn b? t¹i L©m An ®Ó hîp thµnh “L¨ng Nh¹c Th¸i Cùc Ki?m”."	1	100
