Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼şÃû	¶ÔÓ¦Îï¼şË÷Òı	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåĞĞÊôĞÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµş·Å	½Å±¾Ãû(²ÎÊı1)	¼¼ÄÜID£¨²ÎÊı1£©	²ÎÊı2(ÊÍ·¨ÀàĞÍ)	²ÎÊı3(ÊÇ·ñ¹ã²¥)	²ÎÊı4(ÊÇ·ñÓĞµÈ¼¶¸ÅÄî)	²ÎÊı5(ÊÇ·ñ¿É·Å¿ì½İÀ¸)	Target	ÎïÆ·×î´óµş·ÅÖµ	ÒªÇóµÈ¼¶ÏàÍ¬	ÒªÇóÎåĞĞÏàÍ¬	ÒªÇóĞÒÔËÏàÍ¬	ÒªÇóMagicLevel1ÏàÍ¬	ÒªÇóMagicLevel2ÏàÍ¬	ÒªÇóMagicLevel3ÏàÍ¬	ÒªÇóMagicLevel4ÏàÍ¬	ÒªÇóMagicLevel5ÏàÍ¬	ÒªÇóMagicLevel6ÏàÍ¬	µÀ¾ß¶îÍâ²ÎÊı1	µÀ¾ß¶îÍâ²ÎÊı2	µÀ¾ß¶îÍâ²ÎÊı3	µÀ¾ß¶îÍâ²ÎÊı4	µÀ¾ß¶îÍâ²ÎÊı5	µÀ¾ß¶îÍâ²ÎÊı6
B«ng lau b¶ng	6	1	2165	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	Dông cô häc tËp vµ gi¶ng d¹y th«ng dông		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Viªn phÊn	6	1	2166	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	Khi thÇy viÕt b¶ng, bôi phÊn r¬i r¬i		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Viªn phÊn kh«ng bôi	6	1	2167	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	ThÇy, c« sÏ cã søc kháe tèt h¬n khi sö dông vËt phÈm nµy		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bµi häc	6	1	2168	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	Bµi häc cña thÇy, c« truyÒn ®¹t cho häc trß		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bµi häc hay	6	1	2169	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	Tİch tô nh÷ng kiÕn thøc cña thÇy, c«		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bµi häc tuyÖt vêi	6	1	2170	\spr\item\vietnam\midautumn06\mooncake_5.spr	41	1	1	Tİch tô nh÷ng kiÕn thøc, kinh nghiÖm sèng tuyÖt vêi cña thÇy, c«		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
KÖ s¸ch	6	1	2171	\spr\item\script\shujia.spr	41	1	1	Kho tµng kiÕn thøc v« gi¸		0	1	0	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
S¸ch ®Şa lı	6	1	2172	\spr\item\script\dilishu.spr	41	1	1	BiÓn häc mªnh m«ng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
QuyÓn tËp	6	1	2173	\spr\item\script\keben.spr	41	1	1	C«ng cô ghi chĞp l¹i kinh nghiÖm sèng		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
C©y bót	6	1	2174	\spr\item\script\maobi.spr	41	1	1	C«ng cô ghi chĞp l¹i kinh nghiÖm sèng		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Lä mùc	6	1	2175	\spr\item\script\moshui.spr	41	1	1	C«ng cô ghi chĞp l¹i kinh nghiÖm sèng		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Lä mùc xanh	6	1	2176	\spr\item\script\lansemoshui.spr	41	1	1	C«ng cô ghi chĞp l¹i kinh nghiÖm sèng		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
S¸ch ®¹o ®øc	6	1	2177	\spr\item\script\daodeshu.spr	41	1	1	Tiªn häc lÔ hËu häc v¨n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
S¸ch lŞch sö	6	1	2178	\spr\item\script\lishishu.spr	41	1	1	Chøa nh÷ng kiÕn thøc quı b¸u vµ cÇn thiÕt trong cuéc sèng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
S¸ch v¨n häc	6	1	2179	\spr\item\script\wenxueshu.spr	41	1	1	Chøa nh÷ng kiÕn thøc quı b¸u vµ cÇn thiÕt trong cuéc sèng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
S¸ch to¸n häc	6	1	2180	\spr\item\script\shuxueshu.spr	41	1	1	Chøa nh÷ng kiÕn thøc quı b¸u vµ cÇn thiÕt trong cuéc sèng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
 s¸ch sinh häc	6	1	2181	\spr\item\script\shengwushu.spr	41	1	1	Chøa nh÷ng kiÕn thøc quı b¸u vµ cÇn thiÕt trong cuéc sèng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tõ ®iÓn tiÕng ViÖt	6	1	2182	\spr\item\script\yuenanchidian.spr	41	1	1	RÊt bæ İch trong viÖc cñng cè vèn tõ vùng tiÕng ViÖt		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Thiªn tinh b¹ch c©u hoµn	6	1	2183	\spr\item\script\tianxingbaijuwan.spr	41	1	1	Sö dông thu ®­îc 8 tiÕng ñy th¸c, cÊp 130 thu ®­îc kinh nghiÖm gÊp 5 lÇn b¹ch c©u hoµn th­êng, nh©n vËt ®· chuyÓn sinh vµ cÊp 50 trë lªn míi cã thÓ sö dông		0	1	1	\script\item\tianxingbaijuwan.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tİn VËt Tr­êng Ca S¬n Trang	6	1	2184	\spr\item\script\zhuanzhiling.spr	352	1	1	Dùa theo tİn vËt nµy cã thÓ khiÕn cho M«n Nh©n cña Tr­êng Ca M«n ®em ng­¬i ®i Tr­êng Ca S¬n Trang tu luyÖn 2 tiÕng ®«ng hå. Còng cã thÓ t¨ng gÊp ®«i ®iÓm kinh nghiÖm Tr­êng Ca S¬n Trang cña ng­¬i		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tr­êng Ca S¬n Trang LÖnh TiÔn	6	1	2185	\spr\item\questkey\taskobj132.spr	385	1	1	Sö dông LÖnh TiÔn nµy cã thÓ xem ®­îc thêi gian tu luyÖn Tr­êng Ca S¬n Trang cña m×no vµ ®éi ngò tu luyÖn cña m×no		0	1	0	\script\missions\dungeon\dungeons\xinchanggemen\lingjian.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bao quµ gi¸ng sinh	6	1	2186	\spr\item\vietnam\christmas2009\shengdanlibao.spr	377	1	1	§¹o cô ¤ng Giµ Noel sö dông ®Ó ®i tÆng quµ cho trÎ em		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Nãn gi¸ng sinh	6	1	2187	\spr\item\vietnam\christmas2009\shengdanmao.spr	41	1	1	§¹o cô ¤ng Giµ Noel sö dông ®Ó ®i tÆng quµ cho trÎ em		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
¸o gi¸ng sinh	6	1	2188	\spr\item\vietnam\christmas2009\shengdanyi.spr	338	1	1	§¹o cô ¤ng Giµ Noel sö dông ®Ó ®i tÆng quµ cho trÎ em		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¸nh h¶o h¹ng	6	1	2189	\spr\item\vietnam\christmas2009\jipinbing.spr	458	1	1	Lo¹i b¸nh cã h×nh c©y cñi, t­îng tr­ng cho tËp tôc nhãm cñi trong èng khãi nhµ nh©n ngµy Noel		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¸nh th­îng h¹ng	6	1	2190	\spr\item\vietnam\christmas2009\shangpinbing.spr	458	1	1	Lo¹i b¸nh cã h×nh c©y cñi, t­îng tr­ng cho tËp tôc nhãm cñi trong èng khãi nhµ nh©n ngµy Noel		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
B¸nh ®Æc biÖt	6	1	2191	\spr\item\vietnam\christmas2009\tebiebing.spr	458	1	1	Lo¹i b¸nh cã h×nh c©y cñi, t­îng tr­ng cho tËp tôc nhãm cñi trong èng khãi nhµ nh©n ngµy Noel		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
¤ Kim B¶o R­¬ng	6	1	2192	\spr\item\vietnam\christmas2009\wujinbaoxiang.spr	41	1	1	Chøa ngÉu nhiªn c¸c vËt phÈm trang trİ C©y gi¸ng sinh		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tïng Méc B¶o R­¬ng	6	1	2193	\spr\item\vietnam\christmas2009\songmubaoxiang.spr	41	1	1	Chøa ngÉu nhiªn c¸c vËt phÈm trang trİ C©y gi¸ng sinh		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Qu¶ t¸o ®á	6	1	2194	\spr\item\vietnam\christmas2009\hongpingguo.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
KÑo chiÕc gËy	6	1	2195	\spr\item\vietnam\christmas2009\shengdantangguo.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Ng«i sao ­íc väng	6	1	2196	\spr\item\vietnam\christmas2009\xinyuanxingxing.spr	41	1	1	VËt phÈm th­êng ®­îc dïng ®Ó trang trİ C©y gi¸ng sinh		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hép quµ Êm ¸p	6	1	2197	\spr\item\vietnam\christmas2009\wennuanlihe.spr	41	1	1	Quµ gi¸ng sinh ®Æc biÖt ¤ng Giµ Noel dµnh tÆng cho mäi ng­êi		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hép quµ an lµnh	6	1	2198	\spr\item\vietnam\christmas2009\pinganlihe.spr	41	1	1	Quµ gi¸ng sinh ®Æc biÖt ¤ng Giµ Noel dµnh tÆng cho mäi ng­êi		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hép quµ h¹nh phóc	6	1	2199	\spr\item\vietnam\christmas2009\xingfulihe.spr	41	1	1	Mãn quµ ®Æc biÖt ®­îc dïng ®Ó tÆng nhau nh©n dŞp gi¸ng sinh		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Hép quµ gi¸ng sinh	6	1	2200	\spr\item\vietnam\christmas2009\shengdanlihe.spr	41	1	1	Cã thÓ chøa thËt nhiÒu quµ gi¸ng sinh		0	1	0	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Hoa TuyÕt 	6	1	2201	\spr\item\vietnam\christmas2009\xuehua.spr	377	1	1	Nh×n tuyÕt r¬i lÊt phÊt, cao thñ cã thÓ lÜnh ngé vâ c«ng		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Cùc phÈm kim bµi	6	1	2202	\spr\item\questkey\taskobj021.spr	41	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	0	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
T¨ng m·o kim bµi	6	1	2203	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
U lung kim bµi	6	1	2204	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Ma s¸t kim bµi	6	1	2205	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
§Şch kh¸i kim bµi	6	1	2206	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
H¹t Gi¸ng sinh 	6	1	2207	\spr\item\vietnam\christmas2009\shengdanzhongzi.spr	41	1	1	H·y cè g¾ng trang trİ C©y gi¸ng sinh thªm ®Ñp sÏ nhËn ®­îc phÇn th­ëng hÊp dÉn<enter>BÊm chuét ph¶i sö cã thÓ trång c©y gi¸ng sinh		0	1	1	\script\event\shengdan_jieri\200911\seed.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
V¸n tr­ît tuyÕt	6	1	2208	\spr\item\script\huaxueban.spr	41	1	1	Gióp cho viÖc di chuyÓn trªn ®Şa h×nh ®Çy tuyÕt ®­îc dÔ dµng h¬n		0	1	0	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
<<Î´·­Òë>>	6	1	2209	\spr\item\script\spring2007\xinnian_lihua.spr	41	1	1	<<Î´·­Òë>>		0	1	1	\script\item\activityitem.lua	251	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
<<Î´·­Òë>>	6	1	2210	\spr\item\script\jiaoshi_jieri\200810\fuyuanjinshi.spr	41	1	1	<<Î´·­Òë>>		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
KiÕm HiÖp Thµnh Tùu LÖnh	6	1	2211	\spr\item\zhongqiu\wulinlingpai.spr	41	1	2	PhÇn th­ëng KiÕm HiÖp Thµnh Tù LÖnh, nhÊn chuét ph¶i sö dông.		0	1	0	\script\item\other\chengjiuling\item_chengjiuling.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
HuyÕt ChiÕn LÖnh Kú	6	1	2212	\spr\item\zhongqiu\wulinlingpai.spr	41	1	2	ThÓ hiÖn tinh thÇn chiÕn ®Êu m¹nh mÏ, kh«ng mái mÖt cña ng­êi luyÖn vâ		0	1	0	\script\missions\leaguematch\item\xuezhanlingqi.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Khai Quang Ch©n Kinh	6	1	2213	\spr\item\leaguematch\kaiguangzhenjin.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\zhenjing.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
TŞch Cèc Ch©n Kinh	6	1	2214	\spr\item\leaguematch\piguzhenjin.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\zhenjing.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Dung Hîp Ch©n Kinh	6	1	2215	\spr\item\leaguematch\ronghezhenjin.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\zhenjing.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
T©m §éng Ch©n Kinh	6	1	2216	\spr\item\leaguematch\xindongzhenjin.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\zhenjing.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Kim §¬n Ch©n Kinh	6	1	2217	\spr\item\leaguematch\jindanzhenjin.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\zhenjing.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Hång ¶nh B¶o R­¬ng	6	1	2218	\spr\item\leaguematch\hongyinbaoxiang.spr	41	1	1	Ng­êi luyÖn vâ lu«n mong muèn tiÕn vµo nh÷ng c¶nh giíi cao h¬n vµ m­u cÇu tr­êng sinh bÊt l·o		0	1	0	\script\missions\leaguematch\item\hongyinbaoxiang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Cµn Kh«n Song TuyÖt Béi	6	1	2219	\spr\item\leaguematch\qiankunshuangjuepei.spr	41	1	1	§éc C« V« §Şch		0	1	0	\script\missions\leaguematch\item\qiankunshuangjue.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Kim §¬n B¶o R­¬ng	6	1	2220	\spr\item\questkey\taskobj132.spr	458	1	1	Bªn trong chøa 1 Kim §¬n Ch©n Kinh vµ 1 bé Hång ¶nh Hoµn Mü 120%		0	1	0	\script\missions\leaguematch\item\jindanbaoxiang.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bao l× x×	6	1	2221	\spr\item\script\spring2010\hongbao.spr	41	1	1	V¹n sù nh­ ı		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
ThiÖp chóc xu©n	6	1	2222	\spr\item\script\spring2010\chunjieheka.spr	41	1	1	An Khang ThŞnh V­îng		0	1	0	\script\event\chunjie_jieri\201001\heka.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tµi Léc Hång Bao	6	1	2223	\spr\item\script\spring2010\cailuhongbao.spr	41	1	1	N¨m míi Ph¸t Tµi, Ph¸t Léc		0	1	1	\script\event\other\caipiao\item_ticket_pack.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Bïa b¸t qu¸i	6	1	2224	\spr\item\script\spring2010\baguafu.spr	41	1	1	Dïng ®Ó treo lªn c©y nªu víi môc ®İch xua ®uæi ma quû		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tói c¸t t­êng	6	1	2225	\spr\item\script\spring2010\jixiangbao.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tói Tµi Léc	6	1	2226	\spr\item\script\spring2010\cailubao.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Tói ®­êng	6	1	2227	\spr\item\script\spring2010\tangbao.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Gõng	6	1	2228	\spr\item\script\spring2010\jiang.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Bİ	6	1	2229	\spr\item\script\spring2010\donggua.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Dõa	6	1	2230	\spr\item\script\spring2010\yezi.spr	41	1	1	Cung chóc t©n xu©n		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Møt gõng	6	1	2231	\spr\item\script\spring2010\jiangguojiang.spr	41	1	1	Chóc mõng n¨m míi		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Møt bİ	6	1	2232	\spr\item\script\spring2010\dongguajiang.spr	41	1	1	Chóc mõng n¨m míi		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Møt dõa	6	1	2233	\spr\item\script\spring2010\yezijiang.spr	41	1	1	Chóc mõng n¨m míi		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
C©y nªu	6	1	2234	\spr\item\script\spring2010\fanqi.spr	41	1	1	CÊp ®é cµng cao th× hiÖu qu¶ xua ®uæi ma quû cµng râ rÖt		0	1	1	\script\item\chunjie_jieri\201001\flag.lua	0	1	1	1	0		50	1	0	0	0	0	0	0	0	0						
NÕn C¸t T­êng	6	1	2235	\spr\item\script\zhongqiu_jieri\yunyoulazhu.spr	41	1	1	§iÒu kú diÖu sÏ ®Õn víi b¹n trong suèt 1 giê		0	1	1	\script\event\chunjie_jieri\201001\jixianglazhu.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
NÕn Nh­ ı	6	1	2236	\spr\item\script\zhongqiu_jieri\xianwulazhu.spr	41	1	1	§iÒu kú diÖu sÏ ®Õn víi toµn tæ ®éi trong suèt 1 giê		0	1	1	\script\event\chunjie_jieri\201001\ruyilazhu.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
H¸m Thiªn Kim Bµi	6	1	2237	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Thiªn Quang Kim Bµi	6	1	2238	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
T©n Bİch H¶i Kim Bµi	6	1	2239	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
V« Ma Kim Bµi	6	1	2240	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
L¨ng Nh¹c Kim Bµi	6	1	2241	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
S­¬ng Tinh Kim Bµi	6	1	2242	\spr\item\questkey\obj_item_lection02.spr	374	1	1	Tİn vËt cña Vâ L©m Minh Chñ. Ai kiªn tr× vµ nhÉn n¹i sÏ ®­îc nh÷ng phÇn th­ëng v« cïng quı gi¸		0	1	1	\script\item\noscript.lua	0	1	1	0	0		50	0	0	0	0	0	0	0	0	0						
Linh Th¹ch	6	1	2243	\spr\item\script\lingshi.spr	41	1	1	UÈn Hµm Thiªn §Şa Linh Khİ. Nguyªn liÖu n©ng cÊp b¹ch kim		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Than Ngò S¾c	6	1	2244	\spr\item\script\wusetang.spr	41	1	1	DÉn ph¸t Tam Muéi Ch©n Háa, cã thÓ ®èt ch¸y v¹n vËt. Dïng ®Ó ®óc t¹o.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Ngäc Nh­ Y	6	1	2245	\spr\item\script\yuruyi.spr	41	1	1	Cã thÓ ®Õn Thî RÌn ®Ó ®æi lÊy trang bŞ Hoµng Kim.		0	1	1	\script\item\noscript.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Hép lÔ phÈm hoµng kim	6	1	2246	\spr\item\script\item_chrismasbox.spr	41	1	1	Më ra ®­îc ngÉu nhiªn mét trang bŞ hoµng kim		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Vâ L©m Hång Bao	6	1	2247	\spr\item\script\lingshi.spr	41	1	1	NhÊn chuét ph¶i sö dông, cã thÓ ngÉu nhiªn noËn ®­îc c¸c lo¹i nguyªn liÖu vËt phÈm.		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Ngù Tø Kim Bµi	6	1	2248	\spr\item\script\lingshi.spr	41	1	1	Kim Bµi Kû NiÖm Thiªn H¹ §Ö NhÊt Bang, sau khi sö dông cã thÓ noËn ®­îc hiÖu qu¶ noËn ®«i kinh nghiÖm ®¸no qu¸i trong vßng 30 phót, mçi ngµy chØ ®­îc sö dông mét lÇn,.		0	1	1	\script\item\activityitem.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Tµi Léc Hång Bao	6	1	2249	\spr\item\hongbao\cailuhongbao.spr	41	1	1	Bªn trong chøa 2 Canh DÇn Hång Bao		0	1	0	\script\event\other\caipiao\item_ticket_pack.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Canh DÇn Hång Bao	6	1	2250	\spr\item\hongbao\gengyinhongbao.spr	41	1	1	N¨m míi Ph¸t Tµi, Ph¸t Léc		0	1	0	\script\event\other\caipiao\item_ticket.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
Nh¸nh mai	6	1	2251	\spr\item\script\spring2010\meishuzhi.spr	41	1	1	Mai vµng rùc rì khoe s¾c trong n¾ng xu©n		0	1	0	\script\event\chunjie_jieri\201001\seed.lua	0	1	1	0	0		0	0	0	0	0	0	0	0	0	0						
