Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4466	4468	4469	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4467	4468	4469	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4463	4468	4470	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4464	4468	4470	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4465	4468	4470	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4466	4468	4470	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4467	4468	4470	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4463	4468	4471	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4464	4468	4471	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4465	4468	4471	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4466	4468	4471	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	7	0																						36	60											4462	4467	4468	4471	4472	4473	340	347	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4475	4480	4481	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4476	4480	4481	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4477	4480	4481	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4478	4480	4481	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4479	4480	4481	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4475	4480	4482	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4476	4480	4482	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4477	4480	4482	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4478	4480	4482	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4479	4480	4482	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4475	4480	4483	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4476	4480	4483	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4477	4480	4483	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4478	4480	4483	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	8	0																						36	60											4474	4479	4480	4483	4484	4485	341	348	1	131		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4487	4492	4493	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4488	4492	4493	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4489	4492	4493	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4490	4492	4493	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4491	4492	4493	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4487	4492	4494	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4488	4492	4494	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4489	4492	4494	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4490	4492	4494	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4491	4492	4494	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4487	4492	4495	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4488	4492	4495	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4489	4492	4495	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4490	4492	4495	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	9	0																						36	60											4486	4491	4492	4495	4496	4497	342	349	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4487	4499	4500	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4488	4499	4500	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4489	4499	4500	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4490	4499	4500	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4491	4499	4500	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4487	4499	4501	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4488	4499	4501	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4489	4499	4501	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4490	4499	4501	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4491	4499	4501	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4487	4499	4502	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4488	4499	4502	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4489	4499	4502	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4490	4499	4502	4503	4504	343	350	1	132		3	10			
[Tinh X¶o] Cµn Kh«n Giíi ChØ	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	UÈn Hµm C­êng §¹i ThÇn BÝ Lùc L­îng Giíi ChØ!<color>	0	99999	10	0																						36	60											4498	4491	4499	4502	4503	4504	343	350	1	132		3	10			
H·n HuyÕt Long C©u	0	10	18	\spr\item\equip\horse\horse008.spr	40	2	3	<color=Yellow>ChiÕn m· trong truyÒn thuyÕt, ®i ngµy ®ªm kh«ng mÖt mâi<color>	5	99999	10	0	111	120	120	93	1200	1200																46	3	36	150									838	1879	486	1909	2818	2817										
Vò §· Hµ	0	14	0	\spr\item\script\shipin\shipin20.spr	36	1	1	<color=Yellow> häa thuyÒn thÝnh vò nhËp hµ miªn<enter> bÞ ®¸nh tróng cã tØ lÖ nhËn ®­îc tr¹ng th¸i kh¸ng tÊt c¶ 10%, hiÖu qu¶ kÐo dµi 90 gi©y<color>	5	999	10	0																																		2888							351	1							
Thanh B×nh L¹c	0	14	0	\spr\item\script\shipin\shipin2.spr	36	1	1	<color=Yellow> d· hoa ph­¬ng th¶o, tÞch mÞch kh«ng s¬n ®¹o<enter> bÞ ®¸nh tróng cã x¸c suÊt ph¸t ra c«ng kÝch ph¹m vi xung quanh<enter> khiÕn cho ®èi thñ bÞ gi¶m lùc c«ng kÝch kü n¨ng 25%<enter> gi¶m 155% chÝnh x¸c, gi¶m tèc ®é 30%, kÐo dµi 60 gi©y<color>	5	999	10	0																																		2889							352	1							
Håi Xu©n	0	14	0	\spr\item\script\shipin\shipin9.spr	36	1	1	<color=Yellow>Kh« Méc liªn v©n, diÖu thñ Håi Xu©n, vËt truyÒn kú cña thÇn y Hoa §µ<enter> n©ng cao 800 ®iÓm sinh lùc cho nh÷ng ng­êi cïng phe ph¸i xung quanh<color>	5	999	10	0																																		2890							353	1							
Kh« Méc	0	14	0	\spr\item\script\shipin\shipin11.spr	36	1	1	<color=Yellow> Kh« kiÖt tù méc, sinh c¬ toµn v«<enter> lµm gi¶m 800 ®iÓm sinh mÖnh cña phe ®èi ph­¬ng xung quanh<color>	5	999	10	0																																		2891							354	1							
L­u V©n 	0	14	0	\spr\item\script\shipin\shipin10.spr	36	1	1	<color=Yellow>L­u v©n huyÔn t­îng, thiªn ®Þa nhÊt thÓ<enter> n©ng cao 30% tèc ®é ch¹y cña phe ph¸i ë ph¹m vi xung quanh<color>	5	999	10	0																																		2892							355	1							
Nª Tr¹ch	0	14	0	\spr\item\script\shipin\shipin17.spr	36	1	1	<color=Yellow> Th©m nª triÒn tóc, lµm gi¶m 30% tèc ®é ch¹y cña ®èi ph­¬ng<color>	5	999	10	0																																		2893							356	1							
L«i Háa KiÕp	0	14	0	\spr\item\script\shipin\shipin7.spr	36	1	1	<color=Yellow>L«i háa giao ®éng, h¹o kiÕp thiªn ®Þa<enter> Èn dÊu d­íi ®Êt, 4 gi©y sau sÏ ph¸t næ<enter> g©y ra lùc s¸t th­¬ng lín ®èi víi ®Þch nh©n<color>	5	999	10	0																																		2894							357	1							
Mª Tóy Thiªn H­¬ng	0	14	0	\spr\item\script\shipin\shipin5.spr	36	1	1	<color=Yellow> Lo¹n hoa tiÒm tóy mª nh©n nh·n<enter> ®Æt c¹m bÉy, 4 gi©y sau ph¸t sinh hiÖu qu¶, ®Þch nh©n giÉm ph¶i bÞ r¬i vµo tr¹ng th¸i say mµ kh«ng biÕt<color>	5	999	10	0																																		2895							358	1							
§iÖp Vò Hoa Phi	0	14	0	\spr\item\script\shipin\shipin8.spr	36	1	1	<color=Yellow> Ngäc ®iÖp th©m tïng hèt bÊt kiÕn, trung gi¶ c«ng lùc ®¹i thÊt <enter> khiÕn cho môc tiªu bÞ gi¶m chÝnh x¸c 155%<enter> lµm gi¶m c«ng kÝch kü n¨ng 25%<enter> gi¶m 30% tèc ®é ch¹y, hiÖu qu¶ kÐo dµi 60 gi©y<color>	5	999	10	0																																		2896							359	1							
ÁúÕù»¢¶·¡¤½£Ò«	0	14	0	\spr\item\script\shipin\shipin16.spr	36	1	1	<color=Yellow>½£ÏÀÈºÐÛÕ½ÄÏº££¬ÁúÕù»¢¶·Ò«¾ÅÖÝ¡£<enter>µÚ¶þ½ìÖÐÔ½¶Ô¿¹Èü¡¤ÖÐ¹úÇøÑ¡°ÎÈü¼ÍÄî¡£<color>	5	999	10	0	243	23	23	249	3	3	255	15	15	233	680	680	190	5	5																			2712							306	1							
H¾c thÇn- M·nh Uy- Kh«i	0	7	0	\spr\item\equip\cap\obj-ma-cap09-3.spr	31	2	2	Trang bÞ H¾c ThÇn Bé thø nhÊt	2	99999	10	0	30	360	360	31	85	85																36	120											3030	3035	3031	3037	3041	1298	344	360	1	3025	3040					
H¾c thÇn- M·nh Uy- §¹o Bµo	0	2	0	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	Trang bÞ H¾c ThÇn Bé thø hai	0	99999	10	0	30	720	720	31	90	90																36	120											3030	3033	3031	3038	3042	1298	344	360	2	3027	130					
H¾c thÇn- M·nh Uy- Lý	0	5	0	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Trang bÞ H¾c ThÇn Bé thø ba	1	99999	10	0	30	160	160	31	80	80																36	120											3030	3036	3031	3043	3044	1298	344	360	3	3028	1278					
H¾c thÇn- M·nh Uy- Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Trang bÞ H¾c ThÇn Bé thø t­	3	99999	10	0	30	135	135	31	80	80																36	120											3030	3032	3031	3039	3041	1298	344	360	4	3026	1278					
H¾c thÇn- M·nh Uy- Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Trang bÞ H¾c ThÇn Bé thø n¨m	4	99999	10	0	30	160	160	31	80	80																36	120											3030	3034	3031	3043	3041	1298	344	360	5	3029	1278					
B¹ch Hæ Phæ TÕ Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(1)	2	99999	10	0																						36	120	39	0									1875	1855	1895	2098	1918	2215	221	162	1	1540	2196	2	7			
B¹ch Hæ Phæ TÕ T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(2)	1	99999	10	0	30	360	360	31	85	85																36	120	39	0									1876	1775	1896	1938	2255	2215	221	162	2	1429	2819	2	7			
B¹ch Hæ Phæ TÕ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(3)	3	99999	10	0																						36	120	39	0									1875	1815	1895	2118	2255	2215	221	162	3	130		2	7			
B¹ch Hæ Phæ TÕ Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(4)	4	99999	10	0	30	135	135	31	80	80																36	120	39	0									1876	1795	1896	1938	2255	2215	221	162	4	1429	2196	2	7			
B¹ch Hæ Phæ TÕ Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(5)	0	99999	10	0	30	160	160	31	80	80																36	120	39	0									1876	1835	1895	2138	2255	2215	221	162	5	1541	2196	2	7			
B¹ch Hæ Phæ TÕ Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp B¹ch Hæ(6)	2	99999	10	0	30	720	720	31	90	90																36	120	39	0									1876	1855	1895	2098	2157	2215	221	162	6	1429	1767	2	7			
