名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1(0级)	魔法属性索引1(10级)	魔法属性索引2(0级)	魔法属性索引2(10级)	魔法属性索引3(0级)	魔法属性索引3(10级)	魔法属性索引4(0级)	魔法属性索引4(10级)	魔法属性索引5(0级)	魔法属性索引5(10级)	魔法属性索引6(0级)	魔法属性索引6(10级)	所在套装	6级技能ID	10级技能ID	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
[午时]金枫之青阳盔	0	7	4	\spr\item\equip\cap\obj-ma-cap13-2.spr	28	2	2	白金装备	2	0	5	0	30	315	315	31	75	75																36	0											2		358		6								36						
[午时]金枫之麒麟血	0	2	18	\spr\item\equip\armor\obj-ma-cloth14-1.spr	22	2	3	白金装备	0	0	5	0	30	630	630	31	80	80																36	0											2		37		6								36						
[午时]金枫之濯之链光	0	4	1	\spr\item\equip\nick\obj-neck19.spr	36	2	1	白金装备	1	0	5	0																						36	0											366		355		368								36						
[午时]金枫之公谨三叹	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	白金装备	2	0	5	0																						36	0											367		318		368								36						
[午时]金枫之夺魂玉带	0	6	1	\spr\item\equip\sash\obj-sash09.spr	33	2	1	白金装备	4	0	5	0	30	140	140	31	70	70																36	0											314		365		363								36						
[午时]金枫之后羿引弓	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	白金装备	3	0	5	0	30	111	111	31	70	70																36	0											314		359		363								36						
[午时]金枫之兰亭玉	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	白金装备	0	0	5	0																						36	0											367		361		368								36						
[午时]金枫之千里草上飞	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	白金装备	4	0	5	0	30	140	140	31	75	75																36	0											2		360		364								36						
[午时]金枫之铜雀春深	0	3	0	\Spr\item\equip\ring\obj-ring06.spr	37	1	1	白金装备	1	0	5	0																						36	0											367		356		368								36						
兴邦之戒	0	3	0	\spr\item\equip\ring\obj-ring13.spr	37	1	1	<color=yellow>一枚凝聚着华夏不屈之魂的戒指！<color>	0	99999	10	0																						36	60											129	129	131	131	754	754	755	755					53	894	893				
镇岳之戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	以古剑打造而成，存天下无双之力。	2	99999	10	0																						36	60											129		130		740		739		738		440		29						
尚方之戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	以古剑打造而成，存唯我独尊之权。	3	99999	10	0																						36	60											129		130		740		739		738		440		29						
山河之戒	0	3	0	\spr\item\equip\ring\obj-ring14.spr	37	1	1	可使佩戴者获得天地间最强大的力量。	0	99999	10	0																						36	60											129	129	131	131	774	774	775	775					55	896	895				
[完美的]荣耀之衣	0	2	9	\spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	<color=Yellow>2010世界杯黄金套装。<enter>荣耀之衣，凝聚勇者之心。<color>	0	99999	10	0	30	720	720	31	100	100																36	60											778		779		780		781		440		738		42						
[完美的]精准之靴	0	5	1	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	<color=Yellow>2010世界杯黄金套装。<enter>精准之靴，驰骋绿茵之地。<color>	0	99999	10	0	30	160	160	31	100	100																36	60											782		783		781		780		440		738		42						
纯净无暇之戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	<color=yellow>纯净真心百分百！<color>	0	99999	10	0																						36	0											829	828											56						
[金]阳辰香坠	0	9	1	\spr\item\equip\waist\ruyikou.spr	36	1	2	<color=blue>端午节宝物<color><enter>奇香诱人。	0	0	5	0																						36	1											373	130											57						
[木]阳辰香坠	0	9	1	\spr\item\equip\waist\ruyikou.spr	36	1	2	<color=blue>端午节宝物<color><enter>奇香诱人。	1	0	5	0																						36	1											373	130											57						
[水]阳辰香坠	0	9	1	\spr\item\equip\waist\ruyikou.spr	36	1	2	<color=blue>端午节宝物<color><enter>奇香诱人。	2	0	5	0																						36	1											373	130											57						
[火]阳辰香坠	0	9	1	\spr\item\equip\waist\ruyikou.spr	36	1	2	<color=blue>端午节宝物<color><enter>奇香诱人。	3	0	5	0																						36	1											373	130											57						
[土]阳辰香坠	0	9	1	\spr\item\equip\waist\ruyikou.spr	36	1	2	<color=blue>端午节宝物<color><enter>奇香诱人。	4	0	5	0																						36	1											373	130											57						
阳辰项圈	0	4	1	\spr\item\equip\nick\obj-neck20.spr	36	2	1	黄金装备	2	0	10	0	31	60	60																			36	85											735	435	736	412	737	734							57						
[无限制]天煌龙器之龙抬头	0	7	4	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备	2	99999	6	0	30	315	315	31	75	75																36	0											2	316											35						
[无限制]天煌龙器之白龙息	0	2	18	\spr\item\equip\armor\obj-ma-cloth13-3.spr	22	2	3	黄金装备	0	99999	6	0	30	630	630	31	80	80																36	0											2	316											35						
[无限制]天煌龙器之镇冥之链	0	4	1	\spr\item\equip\nick\obj-neck13.spr	36	2	1	黄金装备	1	99999	6	0																						36	0											6	316											35						
[无限制]天煌龙器之九现之指	0	3	0	\Spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备	2	99999	6	0																						36	0											6	316											35						
[无限制]天煌龙器之玉逍遥	0	6	1	\Spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备	4	99999	6	0	30	140	140	31	70	70																36	0											2	316											35						
[无限制]天煌龙器之黄金鳞	0	8	1	\Spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备	3	99999	6	0	30	111	111	31	70	70																36	0											2	316											35						
[无限制]天煌龙器之磐龙瑰	0	9	1	\Spr\item\equip\waist\obj-waist16.spr	36	1	2	黄金装备	0	99999	6	0																						36	0											6	316											35						
[无限制]天煌龙器之龙哭千里	0	5	1	\Spr\item\equip\boots\obj-shoes07.spr	26	2	2	黄金装备	4	99999	6	0	30	140	140	31	75	75																36	0											2	316											35						
[无限制]天煌龙器之怒龙之瞳	0	3	0	\Spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备	1	99999	6	0																						36	0											6	316											35						
帝皇之戒	0	3	0	\spr\item\equip\ring\ring_king.spr	37	1	1	<color=yellow>皇帝身份的象徵！<color>	0	49999	10	0																						36	60											129	131					58												
天子之戒	0	3	0	\spr\item\equip\ring\ring_emperor.spr	37	1	1	<color=yellow>只有天之骄子才能获得的戒指！<color>	0	49999	10	0																						36	60											129	131	774	775	776	777	59												
梦龙之净沙念珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	2	99999	10	0																						36	120	39	0									731	438	321	79	723	720	60	1	6	836	837								
梦龙之菩提缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，套装第七件	1	99999	10	0	28	60	60	29	100	100	167	0	0	31	99	99										36	120	39	0									694	625	46	69	113	155	60	1	7	838	836								
梦龙之渡水靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第八件	3	99999	10	0	30	160	160	31	80	80																36	120	39	0									694	588	702	637	723		60	1	8	738	837								
梦龙之降魔腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，套装第九件	4	99999	10	0	30	135	135	31	80	80																36	120	39	0									694	637	702	642	723		60	1	9	130	836								
梦龙之明王戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	0									694	130	702	749	746		60	1	10	131	837								
伏魔之无涯念珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	0									731	438	321	79	723	720	61	2	6	836	837								
伏魔之明镜僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	黄金装备，套装第七件	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									694	835	591	598	155		61	2	7	838	836								
伏魔之往生袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	黄金装备，套装第八件	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									694	675	174	637	702		61	2	8	738	837								
伏魔之大慈佛戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第九件	2	99999	10	0																						36	120	39	0									784	637	702	639	723		61	2	9	130	836								
伏魔之大悲佛戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	0									694	130	702	749	746		61	2	10	131	837								
四空之舍利佛珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	0									731	438	321	79	723	720	62	3	6	836	837								
四空之无相僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	黄金装备，套装第七件	0	99999	10	0	30	360	360	31	85	85																36	120	39	0									694	591	702	598	155	423	62	3	7	838	836								
四空之宏愿袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	黄金装备，套装第八件	4	99999	10	0	30	720	720	31	90	90																36	120	39	0									694	675	174	637	702		62	3	8	738	837								
四空之极乐软扣	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第九件	1	99999	10	0																						36	120	39	0									784	637	702	639	723		62	3	9	130	836								
四空之同归佛戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	0									694	130	702	749	746		62	3	10	131	837								
撼天之风雷挂坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	1									694	88	598	687	107		63	4	6	836	837								
撼天之照胆金盔	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	黄金装备，套装第七件	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									694	637	54	642	723		63	4	7	838	836								
撼天之锐金佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第八件	3	99999	10	0																						36	120	39	1									673	713	54	534	550		63	4	8	738	837								
撼天之明珠戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第九件	1	99999	10	0																						36	120	39	1									694	749	54	746	723		63	4	9	130	836								
撼天之幻灭戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	1									694	130	702	749	746		63	4	10	131	837								
继业之霸下镇岳坠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	1									694	88	598	687	107		64	5	6	836	837								
继业之青龙啸月盔	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	黄金装备，套装第七件	2	99999	10	0	30	360	360	31	85	85																36	120	39	1									694	637	54	642	723		64	5	7	838	836								
继业之共工镇邪佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第八件	3	99999	10	0																						36	120	39	1									673	713	54	534	550		64	5	8	738	837								
继业之凤睛环彩戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第九件	1	99999	10	0																						36	120	39	1									694	749	54	746	723		64	5	9	130	836								
继业之血海溶金戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	1									694	130	702	749	746		64	5	10	131	837								
御龙之风雷靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第六件	1	99999	10	0	30	160	160	31	80	80																36	120	39	1									694	588	763	638	678		65	6	6	836	837								
御龙之定光黄金铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	25	2	3	黄金装备，套装第七件	0	99999	10	0	30	720	720	31	90	90																36	120	39	1									694	675	832	598	678		65	6	7	838	836								
御龙之开山玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第八件	3	99999	10	0																						36	120	39	1									673	713	54	534	550		65	6	8	738	837								
御龙之咒天束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，套装第九件	3	99999	10	0	30	135	135	31	80	80																36	120	39	1									694	749	54	746	723		65	6	9	130	836								
御龙之正气指环	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	1									694	130	702	749	746		65	6	10	131	837								
无间之云水禅心链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，套装第六件	1	99999	10	0																						36	120	39	4									731	419	321	322	723		66	7	6	836	837								
无间之琼霜蕴玉冠	0	7	7	\spr\item\equip\cap\obj-fm-cap03-2.spr	28	2	2	黄金装备，套装第七件	1	99999	10	0	30	315	315	31	85	85																36	120	39	4									694	309	702	596	420		66	7	7	838	836								
无间之沐水秋裳	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备，套装第八件	4	99999	10	0	30	630	630	31	90	90																36	120	39	4									694	695	423	637	723		66	7	8	738	837								
无间之月影轮秋扣	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备，套装第九件	1	99999	10	0																						36	120	39	4									673	636	674	720	550		66	7	9	130	836								
无间之冰泪静心指环	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	4									694	130	702	751	746		66	7	10	131	837								
无魇之繁花结	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	4									694	88	702	95	107		67	8	6	836	837								
无魇之凝冰玉手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，套装第七件	0	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	39	4									694	596	702	639	633	157	67	8	7	838	836								
无魇之云海裳	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备，套装第八件	4	99999	10	0	30	630	630	31	90	90																36	120	39	4									694	695	423	637	427	597	67	8	8	738	837								
无魇之灵韵袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，套装第九件	1	99999	10	0	30	135	135	31	80	80																36	120	39	4									694	638	720	637	702	746	67	8	9	130	836								
无魇之佛偈般指	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，套装第十件	2	99999	10	0																						36	120	39	4									694	130	702	751	746		67	8	10	131	837								
栖凰之梧桐听雨链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	5									731	438	321	79	723	720	68	9	6	836	837								
栖凰之踏月留香屐	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，套装第七件	2	99999	10	0	30	140	140	31	80	80																36	120	39	5									694	587	702	596	723	597	68	9	7	838	836								
栖凰之花语冠	0	7	13	\spr\item\equip\cap\obj-fm-cap19-1.spr	28	2	2	黄金装备，套装第八件	0	99999	10	0	30	315	315	31	85	85																36	120	39	5									694	638	702	640	723	746	68	9	8	738	837								
栖凰之晓寒纱衣	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备，套装第九件	4	99999	10	0	30	630	630	31	90	90																36	120	39	5									694	695	423	637	723	597	68	9	9	130	836								
栖凰之秋水映月戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	5									694	130	702	751	746		68	9	10	131	837								
碧海之环珠雨链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	5									731	438	321	79	427	423	69	10	6	836	837								
碧海之绣彩织藤屐	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，套装第七件	1	99999	10	0	30	140	140	31	80	80																36	120	39	5									694	587	702	596	637	720	69	10	7	838	836								
碧海之沐雪裳	0	2	16	\spr\item\equip\armor\obj-ma-cloth08-3.spr	22	2	3	黄金装备，套装第八件	0	99999	10	0	30	630	630	31	90	90																36	120	39	5									694	695	423	637	427	597	69	10	8	738	837								
碧海之彩岚袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，套装第九件	3	99999	10	0	30	135	135	31	80	80																36	120	39	5									694	637	702	682	427	746	69	10	9	130	836								
碧海之天魅戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	5									694	130	702	751	746		69	10	10	131	837								
幽胧之夺命项圈	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	3									731	732	79	842	733	640	70	11	6	836	837								
幽胧之白骨爪	0	0	6	\spr\item\equip\bangle\obj-bangle18.spr	9	1	2	黄金装备，套装第七件	2	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	39	3									694	597	702	720	839	302	70	11	7	838	836								
幽胧之碧焰佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	黄金装备，套装第八件	3	99999	10	0																						36	120	39	3									673	713	674	534	550		70	11	8	738	837								
幽胧之噬魂戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第九件	1	99999	10	0																						36	120	39	3									694	637	702	746	733		70	11	9	130	836								
幽胧之滴血戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	3									694	130	702	378	746		70	11	10	131	837								
冥幻之噬血灭气符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	3									731	598	321	322	723	720	71	12	6	836	837								
冥幻之万毒焚心靴	0	5	1	\spr\item\equip\boots\obj-shoes10.spr	26	2	2	黄金装备，套装第七件	1	99999	10	0	30	140	140	31	60	60																36	120	39	3									694	589	702	587	637		71	12	7	838	836								
冥幻之千影摄鬼帽 	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备，套装第八件	2	99999	10	0	30	315	315	31	85	85																36	120	39	3									694	637	702	423	723	746	71	12	8	738	837								
冥幻之枯木断水佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	黄金装备，套装第九件	3	99999	10	0																						36	120	39	3									673	713	674	534	550		71	12	9	130	836								
冥幻之弃尸夺神戒 	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	1	99999	10	0																						36	120	39	3									694	130	702	378	746		71	12	10	131	837								
冰寒之无我符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	2									731	438	321	79	723	640	72	13	6	836	837								
冰寒之苍缎巾	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备，套装第七件	0	99999	10	0	30	315	315	31	85	85																36	120	39	2									694	598	702	439	723	597	72	13	7	838	836								
冰寒之暗香腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备，套装第八件	1	99999	10	0	30	111	111	31	80	80																36	120	39	2									694	596	702	423	724	597	72	13	8	738	837								
冰寒之浮光戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第九件	2	99999	10	0																						36	120	39	2									694	637	702	746	723		72	13	9	130	836								
冰寒之掠影戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	2									694	130	702	378	746		72	13	10	131	837								
天光之烟雨巾	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备，套装第六件	0	99999	10	0	30	315	315	31	85	85																36	120	39	2									694	598	702	439	723	640	73	14	6	836	837								
天光之缥缈衣	0	2	3	\spr\item\equip\armor\obj-ma-cloth11-3.spr	23	2	3	黄金装备，套装第七件	4	99999	10	0	30	720	720	31	90	90																36	120	39	2									694	695	423	637	723	313	73	14	7	838	836								
天光之青云腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备，套装第八件	1	99999	10	0	30	111	111	31	80	80																36	120	39	2									694	596	702	423	724	313	73	14	8	738	837								
天光之百粹佩	0	9	1	\spr\item\equip\waist\obj-waist14.spr	36	1	2	黄金装备，套装第九件	1	99999	10	0																						36	120	39	2									673	841	674	534	550		73	14	9	130	836								
天光之倾城戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	2									694	130	702	378	746		73	14	10	131	837								
森荒之凝思链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	4	99999	10	0																						36	120	39	2									731	438	321	79	723	640	74	15	6	836	837								
森荒之纵云巾	0	7	2	\spr\item\equip\cap\obj-ma-cap08-3.spr	28	2	2	黄金装备，套装第七件	0	99999	10	0	30	315	315	31	85	85																36	120	39	2									694	598	702	439	723	597	74	15	7	838	836								
森荒之寻踪腕	0	8	1	\spr\item\equip\bangle\obj-bangle16.spr	34	1	2	黄金装备，套装第八件	1	99999	10	0	30	111	111	31	80	80																36	120	39	2									694	596	702	423	724	597	74	15	8	738	837								
森荒之飞花戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第九件	2	99999	10	0																						36	120	39	2									694	637	702	746	723		74	15	9	130	836								
森荒之摘叶戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，套装第十件	3	99999	10	0																						36	120	39	2									694	130	702	378	746		74	15	10	131	837								
同仇之双龙戏水符	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	黄金装备，套装第六件	1	99999	10	0																						36	120	39	6									731	321	322	732	150		75	16	6	836	837								
同仇之擒龙缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，套装第七件	3	99999	10	0	28	46	46	29	86	86	167	0	0	31	99	99										36	120	39	6									694	598	702	439	840	164	75	16	7	838	836								
同仇之神龙摆尾靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第八件	4	99999	10	0	30	140	140	31	80	80																36	120	39	6									694	587	702	596	150		75	16	8	738	837								
同仇之飞龙在天环	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	黄金装备，套装第九件	3	99999	10	0	30	315	315	31	85	85																36	120	39	6									694	637	702	423	150	322	75	16	9	130	836								
同仇之六龙布雨戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	2	99999	10	0																						36	120	39	6									694	130	702	752	746		75	16	10	131	837								
敌忾之浑天符	0	4	1	\spr\item\equip\nick\obj-neck16.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	6									731	79	438	322	723	720	76	17	6	836	837								
敌忾之逍遥草屐	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第七件	1	99999	10	0	30	140	140	31	80	80																36	120	39	6									694	587	702	596	723		76	17	7	838	836								
敌忾之盘龙头巾	0	7	3	\Spr\item\equip\cap\obj-ma-cap12-1.spr	28	2	2	黄金装备，套装第八件	2	99999	10	0	30	315	315	31	85	85																36	120	39	6									694	637	702	423	723	322	76	17	8	738	837								
敌忾之通天扣	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第九件	3	99999	10	0																						36	120	39	6									673	713	674	534	550		76	17	9	130	836								
敌忾之游龙戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	6									694	130	702	752	746		76	17	10	131	837								
魔煞之弑龙卸凰链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	0	99999	10	0																						36	120	39	7									731	598	317	322	723		77	18	6	836	837								
魔煞之破风顿絮靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第七件	1	99999	10	0	30	140	140	31	80	80																36	120	39	7									694	587	702	596	723		77	18	7	838	836								
魔煞之逐日灼月佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，套装第八件	3	99999	10	0																						36	120	39	7									673	713	674	534	550		77	18	8	738	837								
魔煞之焚天炽地腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备，套装第九件	3	99999	10	0	30	140	140	31	80	80																36	120	39	7									694	596	702	746	723	597	77	18	9	130	836								
魔煞之淬火燿水戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	7									694	130	702	752	746		77	18	10	131	837								
魔嗜之赤霄符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	1	99999	10	0																						36	120	39	7									731	321	597	637	150		78	19	6	836	837								
魔嗜之藏火刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，套装第七件	3	99999	10	0	28	40	40	29	114	114	167	-20	-20	31	99	99										36	120	39	7									694	598	702	439	840	165	78	19	7	838	836								
魔嗜之赤炼甲	0	2	16	\spr\item\equip\armor\obj-ma-cloth09-3.spr	23	2	3	黄金装备，套装第八件	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									701	695	642	638	702		78	19	8	738	837								
魔嗜之地炎护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备，套装第九件	0	99999	10	0	30	140	140	31	80	80																36	120	39	7									694	596	702	746	150		78	19	9	130	836								
魔嗜之殇日戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，套装第十件	4	99999	10	0																						36	120	39	7									694	130	702	752	746		78	19	10	131	837								
凌岳之太乙护符	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，套装第六件	3	99999	10	0																						36	120	39	8									107	92	702	96	706	694	79	20	6	836	837								
凌岳之御风靴 	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，套装第七件	0	99999	10	0	30	140	140	31	80	80																36	120	39	8									694	587	702	637	722		79	20	7	838	836								
凌岳之羽化仙冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-2.spr	28	2	2	黄金装备，套装第八件	4	99999	10	0	30	315	315	31	85	85																36	120	39	8									694	638	702	439	596		79	20	8	738	837								
凌岳之无象袍	0	2	3	\Spr\item\equip\armor\obj-ma-cloth11-3.spr	22	2	3	黄金装备，套装第九件	3	99999	8	0	30	630	630	31	80	80																36	120	39	8									694	695	720	637	598		79	20	9	130	836								
