名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	基础属性1类型	基础属性1最小值	基础属性1最大值	基础属性2类型	基础属性2最小值	基础属性2最大值	基础属性3类型	基础属性3最小值	基础属性3最大值	基础属性4类型	基础属性4最小值	基础属性4最大值	基础属性5类型	基础属性5最小值	基础属性5最大值	基础属性6类型	基础属性6最小值	基础属性6最大值	基础属性7类型	基础属性7最小值	基础属性7最大值	需求属性1类型	需求属性1数值	需求属性2类型	需求属性2数值	需求属性3类型	需求属性3数值	需求属性4类型	需求属性4数值	需求属性5类型	需求属性5数值	需求属性6类型	需求属性6数值	魔法属性索引1	魔法属性索引2	魔法属性索引3	魔法属性索引4	魔法属性索引5	魔法属性索引6	所在套装	扩展套装	扩展套装序号	扩展套装隐藏属性1	扩展套装隐藏属性2
云鹿之纯阳履	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，云鹿级武当剑法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	80	39	8									952	871	972	1014	1254	1291	126	67	8		
云鹿之纯阳玉佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，云鹿级武当剑法套装第九件	3	99999	10	0																						36	80	39	8									951	911	971	1194	1331	1291	126	67	9	1530	
云鹿之纯阳下戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，云鹿级武当剑法套装第十件	4	99999	10	0																						36	80	39	8									951	931	971	1014	1331	1291	126	67	10		
云鹿之清风项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，云鹿级昆仑刀法套装第一件	0	99999	10	0																						36	80	39	9									951	851	972	1014	994	1291	127	68	1	1532	
云鹿之清风道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	黄金装备，云鹿级昆仑刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	80	39	9									952	891	971	1194	1331	1291	127	68	2		
云鹿之清风上戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，云鹿级昆仑刀法套装第三件	1	99999	10	0																						36	80	39	9									951	871	972	1014	1331	1291	127	68	3		
云鹿之清风护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，云鹿级昆仑刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	80	39	9									952	911	971	1214	1331	1291	127	68	4		
云鹿之清风腰带	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备，云鹿级昆仑刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	80	39	9									952	931	972	1174	1331	1291	127	68	5	1533	
云鹿之清风道袍	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	黄金装备，云鹿级昆仑刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	80	39	9									952	851	972	1014	1234	1291	127	68	6		
云鹿之清风刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，云鹿级昆仑刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	80	39	9									1038	891	1074	1194	1316	1291	127	68	7		
云鹿之清风靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，云鹿级昆仑刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	80	39	9									952	871	972	1014	1254	1291	127	68	8		
云鹿之清风佩	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	黄金装备，云鹿级昆仑刀法套装第九件	3	99999	10	0																						36	80	39	9									951	911	971	1214	1331	1291	127	68	9	1534	
云鹿之清风下戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，云鹿级昆仑刀法套装第十件	4	99999	10	0																						36	80	39	9									951	931	971	1174	1331	1291	127	68	10		
云鹿之风雷符	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	黄金装备，云鹿级昆仑剑法套装第一件	3	99999	10	0																						36	80	39	9									951	851	972	1014	994	1291	128	69	1	1536	
云鹿之风雷道冠	0	7	1	\spr\item\equip\cap\obj-ma-cap05-3.spr	28	2	2	黄金装备，云鹿级昆仑剑法套装第二件	4	99999	10	0	30	360	360	31	85	85																36	80	39	9									952	891	971	1194	1331	1291	128	69	2		
云鹿之风雷上戒	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	黄金装备，云鹿级昆仑剑法套装第三件	0	99999	10	0																						36	80	39	9									951	871	972	1014	1331	1291	128	69	3		
云鹿之风雷护腕	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	黄金装备，云鹿级昆仑剑法套装第四件	2	99999	10	0	30	135	135	31	80	80																36	80	39	9									952	911	971	1214	1331	1291	128	69	4		
云鹿之风雷腰带	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	黄金装备，云鹿级昆仑剑法套装第五件	1	99999	10	0	30	160	160	31	80	80																36	80	39	9									952	931	972	1174	1331	1291	128	69	5	1537	
云鹿之风雷道袍	0	2	1	\spr\item\equip\armor\obj-ma-cloth05-3.spr	24	2	3	黄金装备，云鹿级昆仑剑法套装第六件	3	99999	10	0	30	720	720	31	90	90																36	80	39	9									952	851	972	1014	1234	1291	128	69	6		
云鹿之风雷剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备，云鹿级昆仑剑法套装第七件	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	80	39	9									1057	891	1154	1194	1331	1291	128	69	7		
云鹿之风雷靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，云鹿级昆仑剑法套装第八件	0	99999	10	0	30	160	160	31	80	80																36	80	39	9									952	871	972	1014	1254	1291	128	69	8		
云鹿之风雷佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，云鹿级昆仑剑法套装第九件	2	99999	10	0																						36	80	39	9									951	911	971	1214	1331	1291	128	69	9	1538	
云鹿之风雷下戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备，云鹿级昆仑剑法套装第十件	1	99999	10	0																						36	80	39	9									951	931	971	1174	1331	1291	128	69	10		
苍狼之普渡珠链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级少林拳法套装第一件	2	99999	10	0																						36	100	39	0									952	932	973	1175	995	1292	129	70	1	1456	
苍狼之普渡僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	黄金装备，苍狼级少林拳法套装第二件	1	99999	10	0	30	360	360	31	85	85																36	100	39	0									953	852	972	1015	1332	1292	129	70	2		
苍狼之普渡上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级少林拳法套装第三件	3	99999	10	0																						36	100	39	0									952	892	973	1195	1332	1292	129	70	3		
苍狼之普渡护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，苍狼级少林拳法套装第四件	4	99999	10	0	30	135	135	31	80	80																36	100	39	0									953	872	972	1015	1332	1292	129	70	4		
苍狼之普渡腰带	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	黄金装备，苍狼级少林拳法套装第五件	0	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	912	973	1215	1332	1292	129	70	5	1457	
苍狼之普渡袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	黄金装备，苍狼级少林拳法套装第六件	2	99999	10	0	30	720	720	31	90	90																36	100	39	0									953	932	973	1175	1234	1292	129	70	6		
苍狼之普渡缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，苍狼级少林拳法套装第七件	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	100	39	0									1275	852	1075	1015	1332	1292	129	70	7		
苍狼之普渡僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，苍狼级少林拳法套装第八件	3	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	892	973	1195	1255	1292	129	70	8		
苍狼之普渡腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，苍狼级少林拳法套装第九件	4	99999	10	0																						36	100	39	0									952	872	972	1015	1332	1292	129	70	9	1458	
苍狼之普渡下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级少林拳法套装第十件	0	99999	10	0																						36	100	39	0									952	912	972	1215	1332	1292	129	70	10		
苍狼之庄严佛珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级少林棍法套装第一件	4	99999	10	0																						36	100	39	0									952	932	973	1175	995	1292	130	71	1	1459	
苍狼之庄严僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	黄金装备，苍狼级少林棍法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	100	39	0									953	852	972	1015	1332	1292	130	71	2		
苍狼之庄严上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级少林棍法套装第三件	2	99999	10	0																						36	100	39	0									952	892	973	1195	1332	1292	130	71	3		
苍狼之庄严护腕	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	黄金装备，苍狼级少林棍法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	100	39	0									953	872	972	1015	1332	1292	130	71	4		
苍狼之庄严腰带	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	黄金装备，苍狼级少林棍法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	912	973	1215	1332	1292	130	71	5	1460	
苍狼之庄严袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	黄金装备，苍狼级少林棍法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	100	39	0									953	932	973	1175	1234	1292	130	71	6		
苍狼之庄严僧棍	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	黄金装备，苍狼级少林棍法套装第七件	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	100	39	0									1038	852	1075	1015	1332	1292	130	71	7		
苍狼之庄严僧鞋	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，苍狼级少林棍法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	892	973	1195	1255	1292	130	71	8		
苍狼之庄严腰坠	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	黄金装备，苍狼级少林棍法套装第九件	1	99999	10	0																						36	100	39	0									952	872	972	1015	1332	1292	130	71	9	1461	
苍狼之庄严下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级少林棍法套装第十件	3	99999	10	0																						36	100	39	0									952	912	972	1215	1332	1292	130	71	10		
苍狼之法华项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级少林刀法套装第一件	4	99999	10	0																						36	100	39	0									952	932	973	1175	995	1292	131	72	1	1459	
苍狼之法华僧帽	0	7	0	\spr\item\equip\cap\obj-ma-cap02-3.spr	28	2	2	黄金装备，苍狼级少林刀法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	100	39	0									953	852	972	1015	1332	1292	131	72	2		
苍狼之法华上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级少林刀法套装第三件	2	99999	10	0																						36	100	39	0									952	892	973	1195	1332	1292	131	72	3		
苍狼之法华护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，苍狼级少林刀法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	100	39	0									953	872	972	1015	1332	1292	131	72	4		
苍狼之法华腰带	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	黄金装备，苍狼级少林刀法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	912	973	1215	1332	1292	131	72	5	1462	
苍狼之法华袈裟	0	2	0	\spr\item\equip\armor\obj-ma-cloth02-3.spr	22	2	3	黄金装备，苍狼级少林刀法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	100	39	0									953	932	973	1175	1234	1292	131	72	6		
苍狼之法华戒刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，苍狼级少林刀法套装第七件	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	100	39	0									1038	852	1075	1015	1332	1292	131	72	7		
苍狼之法华僧鞋	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备，苍狼级少林刀法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	100	39	0									953	892	973	1195	1255	1292	131	72	8		
苍狼之法华腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，苍狼级少林刀法套装第九件	1	99999	10	0																						36	100	39	0									952	872	972	1015	1332	1292	131	72	9	1463	
苍狼之法华下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级少林刀法套装第十件	3	99999	10	0																						36	100	39	0									952	912	972	1215	1332	1292	131	72	10		
苍狼之百炼珠	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级天王锤法套装第一件	0	99999	10	0																						36	100	39	1									952	852	973	1015	995	1292	132	73	1	1464	
苍狼之百炼盔	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	黄金装备，苍狼级天王锤法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	100	39	1									953	892	972	1195	1332	1292	132	73	2		
苍狼之百炼上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级天王锤法套装第三件	1	99999	10	0																						36	100	39	1									952	872	973	1015	1332	1292	132	73	3		
苍狼之百炼束腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，苍狼级天王锤法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	100	39	1									953	912	972	1215	1332	1292	132	73	4		
苍狼之百炼腰带	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	黄金装备，苍狼级天王锤法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	932	973	1175	1332	1292	132	73	5	1465	
苍狼之百炼铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-3.spr	23	2	3	黄金装备，苍狼级天王锤法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	100	39	1									953	852	973	1015	1234	1292	132	73	6		
苍狼之百炼锤	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	黄金装备，苍狼级天王锤法套装第七件	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	100	39	1									1275	892	1075	1195	1317	1292	132	73	7		
苍狼之百炼靴	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	黄金装备，苍狼级天王锤法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	872	973	1015	1255	1292	132	73	8		
苍狼之百炼佩	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，苍狼级天王锤法套装第九件	3	99999	10	0																						36	100	39	1									952	912	972	1215	1332	1292	132	73	9	1466	
苍狼之百炼下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级天王锤法套装第十件	4	99999	10	0																						36	100	39	1									952	932	972	1175	1332	1292	132	73	10		
苍狼之狮蛮项链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级天王枪法套装第一件	0	99999	10	0																						36	100	39	1									952	852	973	1015	995	1292	133	74	1	1468	
苍狼之狮蛮盔	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	黄金装备，苍狼级天王枪法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	100	39	1									953	892	972	1195	1332	1292	133	74	2		
苍狼之狮蛮上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级天王枪法套装第三件	1	99999	10	0																						36	100	39	1									952	872	973	1015	1332	1292	133	74	3		
苍狼之狮蛮护腕	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	黄金装备，苍狼级天王枪法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	100	39	1									953	912	972	1215	1332	1292	133	74	4		
苍狼之狮蛮束腰	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	黄金装备，苍狼级天王枪法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	932	973	1175	1332	1292	133	74	5	1469	
苍狼之狮蛮铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-3.spr	23	2	3	黄金装备，苍狼级天王枪法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	100	39	1									953	852	973	1015	1234	1292	133	74	6		
苍狼之狮蛮枪	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	黄金装备，苍狼级天王枪法套装第七件	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	100	39	1									1275	892	1075	1195	1317	1292	133	74	7		
苍狼之狮蛮靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，苍狼级天王枪法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	872	973	1015	1255	1292	133	74	8		
苍狼之狮蛮腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，苍狼级天王枪法套装第九件	3	99999	10	0																						36	100	39	1									952	912	972	1215	1332	1292	133	74	9	1470	
苍狼之狮蛮下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级天王枪法套装第十件	4	99999	10	0																						36	100	39	1									952	932	972	1175	1332	1292	133	74	10		
苍狼之将军链	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	黄金装备，苍狼级天王刀法套装第一件	0	99999	10	0																						36	100	39	1									952	852	973	1015	995	1292	134	75	1	1472	
苍狼之将军盔	0	7	4	\spr\item\equip\cap\obj-ma-cap14-3.spr	29	2	2	黄金装备，苍狼级天王刀法套装第二件	2	99999	10	0	30	360	360	31	85	85																36	100	39	1									953	892	972	1195	1332	1292	134	75	2		
苍狼之将军上戒	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	黄金装备，苍狼级天王刀法套装第三件	1	99999	10	0																						36	100	39	1									952	872	973	1015	1332	1292	134	75	3		
苍狼之将军护腕	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	黄金装备，苍狼级天王刀法套装第四件	3	99999	10	0	30	135	135	31	80	80																36	100	39	1									953	912	972	1215	1332	1292	134	75	4		
苍狼之将军束腰	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	黄金装备，苍狼级天王刀法套装第五件	4	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	932	973	1175	1332	1292	134	75	5	1473	
苍狼之将军铠	0	2	4	\spr\item\equip\armor\obj-ma-cloth14-3.spr	23	2	3	黄金装备，苍狼级天王刀法套装第六件	0	99999	10	0	30	720	720	31	90	90																36	100	39	1									953	852	973	1015	1234	1292	134	75	6		
苍狼之将军宝刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，苍狼级天王刀法套装第七件	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	100	39	1									1275	892	1075	1195	1317	1292	134	75	7		
苍狼之将军靴	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	黄金装备，苍狼级天王刀法套装第八件	1	99999	10	0	30	160	160	31	80	80																36	100	39	1									953	872	973	1015	1255	1292	134	75	8		
苍狼之将军腰坠	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	黄金装备，苍狼级天王刀法套装第九件	3	99999	10	0																						36	100	39	1									952	912	972	1215	1332	1292	134	75	9	1474	
苍狼之将军下戒	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	黄金装备，苍狼级天王刀法套装第十件	4	99999	10	0																						36	100	39	1									952	932	972	1175	1332	1292	134	75	10		
苍狼之清灵珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，苍狼级峨嵋剑法套装第一件	4	99999	10	0																						36	100	39	4									952	932	973	1175	995	1292	135	76	1	1476	
苍狼之清灵发带	0	7	10	\spr\item\equip\cap\obj-fm-cap11-3.spr	30	2	2	黄金装备，苍狼级峨嵋剑法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	100	39	4									953	852	972	1015	1332	1292	135	76	2		
苍狼之清灵上戒	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	黄金装备，苍狼级峨嵋剑法套装第三件	2	99999	10	0																						36	100	39	4									952	892	973	1195	1332	1292	135	76	3		
苍狼之清灵护腕	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	黄金装备，苍狼级峨嵋剑法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	100	39	4									953	872	972	1015	1332	1292	135	76	4		
苍狼之清灵束腰	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	黄金装备，苍狼级峨嵋剑法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	100	39	4									953	912	973	1215	1332	1292	135	76	5	1477	
苍狼之清灵纱衣	0	2	10	\spr\item\equip\armor\obj-fm-cloth11-3.spr	24	2	3	黄金装备，苍狼级峨嵋剑法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	100	39	4									953	932	973	1175	1234	1292	135	76	6		
苍狼之清灵剑	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	黄金装备，苍狼级峨嵋剑法套装第七件	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	100	39	4									1038	852	1075	1015	1332	1292	135	76	7		
苍狼之清灵鞋	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，苍狼级峨嵋剑法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	100	39	4									953	892	973	1195	1255	1292	135	76	8		
苍狼之清灵香囊	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备，苍狼级峨嵋剑法套装第九件	1	99999	10	0																						36	100	39	4									952	872	972	1015	1332	1292	135	76	9	1478	
苍狼之清灵下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，苍狼级峨嵋剑法套装第十件	3	99999	10	0																						36	100	39	4									952	912	972	1215	1332	1292	135	76	10		
苍狼之冰晶珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，苍狼级峨嵋掌法套装第一件	4	99999	10	0																						36	100	39	4									952	932	973	1175	995	1292	136	77	1	1480	
苍狼之冰晶发带	0	7	10	\spr\item\equip\cap\obj-fm-cap11-3.spr	30	2	2	黄金装备，苍狼级峨嵋掌法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	100	39	4									953	852	972	1015	1332	1292	136	77	2		
苍狼之冰晶上戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，苍狼级峨嵋掌法套装第三件	2	99999	10	0																						36	100	39	4									952	892	973	1195	1332	1292	136	77	3		
苍狼之冰晶护腕	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，苍狼级峨嵋掌法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	100	39	4									953	872	972	1015	1332	1292	136	77	4		
苍狼之冰晶束腰	0	6	1	\spr\item\equip\sash\obj-sash20.spr	33	2	1	黄金装备，苍狼级峨嵋掌法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	100	39	4									953	912	973	1215	1332	1292	136	77	5	1481	
苍狼之冰晶衫	0	2	10	\spr\item\equip\armor\obj-fm-cloth11-3.spr	24	2	3	黄金装备，苍狼级峨嵋掌法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	100	39	4									953	932	973	1175	1234	1292	136	77	6		
苍狼之冰晶缠手	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	黄金装备，苍狼级峨嵋掌法套装第七件	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	100	39	4									1058	852	1115	1015	1332	1292	136	77	7		
苍狼之冰晶靴	0	5	3	\spr\item\equip\boots\obj-shoes19.spr	27	2	2	黄金装备，苍狼级峨嵋掌法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	100	39	4									953	892	973	1195	1255	1292	136	77	8		
苍狼之冰晶香囊	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	黄金装备，苍狼级峨嵋掌法套装第九件	1	99999	10	0																						36	100	39	4									952	872	972	1015	1332	1292	136	77	9	1482	
苍狼之冰晶下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，苍狼级峨嵋掌法套装第十件	3	99999	10	0																						36	100	39	4									952	912	972	1215	1332	1292	136	77	10		
苍狼之紫霞珠链	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	黄金装备，苍狼级翠烟刀法套装第一件	4	99999	10	0																						36	100	39	5									952	852	973	1015	995	1292	137	78	1	1484	
苍狼之紫霞簪	0	7	9	\spr\item\equip\cap\obj-fm-cap08-3.spr	30	2	2	黄金装备，苍狼级翠烟刀法套装第二件	0	99999	10	0	30	360	360	31	85	85																36	100	39	5									953	892	972	1195	1332	1292	137	78	2		
苍狼之紫霞上戒	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	黄金装备，苍狼级翠烟刀法套装第三件	2	99999	10	0																						36	100	39	5									952	872	973	1015	1332	1292	137	78	3		
苍狼之紫霞袖	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	黄金装备，苍狼级翠烟刀法套装第四件	1	99999	10	0	30	135	135	31	80	80																36	100	39	5									953	912	972	1215	1332	1292	137	78	4		
苍狼之紫霞束腰	0	6	0	\spr\item\equip\sash\obj-sash07.spr	32	2	1	黄金装备，苍狼级翠烟刀法套装第五件	3	99999	10	0	30	160	160	31	80	80																36	100	39	5									953	932	973	1175	1332	1292	137	78	5	1485	
苍狼之紫霞衫	0	2	9	\spr\item\equip\armor\obj-fm-cloth08-3.spr	24	2	3	黄金装备，苍狼级翠烟刀法套装第六件	4	99999	10	0	30	720	720	31	90	90																36	100	39	5									953	852	973	1015	1234	1292	137	78	6		
苍狼之紫霞刀	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	黄金装备，苍狼级翠烟刀法套装第七件	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	100	39	5									1038	892	1075	1195	1332	1292	137	78	7		
苍狼之紫霞靴	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	黄金装备，苍狼级翠烟刀法套装第八件	2	99999	10	0	30	160	160	31	80	80																36	100	39	5									953	872	973	1015	1255	1292	137	78	8		
苍狼之紫霞香囊	0	9	0	\spr\item\equip\waist\obj-waist06.spr	36	1	2	黄金装备，苍狼级翠烟刀法套装第九件	1	99999	10	0																						36	100	39	5									952	912	972	1215	1332	1292	137	78	9	1486	
苍狼之紫霞下戒	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	黄金装备，苍狼级翠烟刀法套装第十件	3	99999	10	0																						36	100	39	5									952	932	972	1175	1332	1292	137	78	10		
