名称	ItemGenre	DetailType	ParticularType	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
新年贺卡4	6	1	1349	\spr\item\christmas2006\xmascard5.spr	38	1	1	发送温馨祝福，右键点击使用。		20	1	1	\script\item\springfestival07\xinnian_heka.lua	0	1	1	0	0
春节红包	6	1	1350	\spr\item\script\spring2007\chunjie_hongbao.spr	342	1	1	右键点击使用，可以随机得到一个鞭炮。		20	1	1	\script\event\springfestival07\item\festivalbag.lua	0	1	1	0	0
鞭炮（小）	6	1	1351	\spr\item\script\spring2007\bianpao_small.spr	462	1	1	春节喜庆必备用品。<enter>收集多个，可以到明月镇请作坊工人帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0
鞭炮（中）	6	1	1352	\spr\item\script\spring2007\bianpao_middle.spr	462	1	2	春节喜庆必备用品。<enter>收集多个，可以到明月镇请作坊工人帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0
鞭炮（大）	6	1	1353	\spr\item\script\spring2007\bianpao_big.spr	462	1	2	春节喜庆必备用品。<enter>收集多个，可以到明月镇请作坊工人帮你做个更高级的鞭炮。		20	1	1	\script\item\noscript.lua	0	1	1	0	0
特效小鞭炮串	6	1	1354	\spr\item\script\spring2007\bianpaochuan_small.spr	463	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得15万经验值，一颗3级的玄晶矿石。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_s_small.lua	0	1	1	0	0
特效中鞭炮串	6	1	1355	\spr\item\script\spring2007\bianpaochuan_middle.spr	463	1	2	春节喜庆必备用品。<enter>右键点击使用，可获得120万经验值，一颗5级的玄晶矿石。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_s_mid.lua	0	1	1	0	0
特效大鞭炮串	6	1	1356	\spr\item\script\spring2007\bianpaochuan_big.spr	463	1	2	春节喜庆必备用品。<enter>右键点击使用，可获得3000万经验值，随机获得水晶、7级8级玄晶矿石、或者黄金装备一件。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_s_big.lua	0	1	1	0	0
普通小鞭炮串	6	1	1357	\spr\item\script\spring2007\bianpaochuan_small.spr	463	1	1	春节喜庆必备用品。<enter>右键点击使用，可获得15万经验值。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_n_small.lua	0	1	1	0	0
普通中鞭炮串	6	1	1358	\spr\item\script\spring2007\bianpaochuan_middle.spr	463	1	2	春节喜庆必备用品。<enter>右键点击使用，可获得100万经验值。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_n_mid.lua	0	1	1	0	0
普通大鞭炮串	6	1	1359	\spr\item\script\spring2007\bianpaochuan_big.spr	463	1	2	春节喜庆必备用品。<enter>右键点击使用，可获得800万经验值。<enter>使用截至时间到2007年03月31日24：00。		20	1	1	\script\event\springfestival07\item\crackers_n_big.lua	0	1	1	0	0
鞭炮	6	1	1360	\spr\item\magic\icon_item_baozhu.spr	41	1	1	春节活动道具，可以用来攻击其他玩家（右键点击使用）		1000	1	1	\script\missions\springfestival07\item\bianpao.lua	0	1	1	0	1
玫瑰花籽	6	1	1361	\spr\item\questkey\seed_rose.spr	330	1	1	右键点击使用，开始培育一个玫瑰树。<enter>培育地图：七大城市、新手村及四大景区<enter>限80级以上充值用户使用。<enter><color=blue>使用截至日期：2007年02月23日<color>		20	1	0	\script\item\valentine2007\rose_seed.lua	0	1	1	0	0
完美的红玫瑰	6	1	1362	\spr\item\script\vanlentine2007\pure_rose.spr	330	1	1	右键点击使用，可获得150w经验。<enter>限80级以上充值用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0
普通的红玫瑰	6	1	1363	\spr\item\script\vanlentine2007\normal_rose.spr	330	1	1	右键点击使用，可获得100w经验。<enter>限80级以上充值用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0
红玫瑰花蕾	6	1	1364	\spr\item\script\vanlentine2007\red_rose.spr	330	1	1	右键点击使用，可获得50w经验。<enter>限80级以上充值用户使用。<enter><color=blue>使用截至日期：2007年03月06日<color>		20	1	0	\script\item\valentine2007\red_rose.lua	0	1	1	0	0
武林彩券IB	6	2	9	\spr\item\worldcup\huangjin_qiuka.spr	41	1	1	\script\event\lottery\one_lottery_dec.lua		100	1	0	\script\event\lottery\one_lottery_main.lua	0	1	1	0	0
武林彩券（五张）IB	6	2	10	\spr\item\worldcup\huangjin_qiuka.spr	41	1	1	\script\event\lottery\one_lottery_dec.lua		100	1	0	\script\event\lottery\one_lottery_main.lua	0	1	1	0	0
武林彩券卡册IB	6	2	11	\spr\item\worldcup\dalishen_kace.spr	41	1	1	\script\event\lottery\total_lottery_dec.lua		0	1	0	\script\event\lottery\total_lottery_main.lua	0	1	1	0	0
八仙饺子	6	1	1365	\spr\item\questkey\seed_rose.spr	41	1	1	过年常吃的食品，食用后可以获得50万经验值。		20	1	0	\script\event\lottery\dumpling.lua	0	1	1	0	0
黄金年糕	6	1	1366	\spr\item\questkey\seed_rose.spr	41	1	1	过年常吃的食品，食用后可以获得500万经验值。		20	1	0	\script\event\lottery\ricecake.lua	0	1	1	0	0
武林彩券（五十张）IB	6	2	12	\spr\item\worldcup\huangjin_qiuka.spr	41	1	1	\script\event\lottery\one_lottery_dec.lua		100	1	0	\script\event\lottery\one_lottery_main.lua	0	1	1	0	0
一把残旧的钥匙	6	1	1367	\spr\item\questkey\taskobj092.spr	41	1	1	用来打开宝箱的钥匙，不过看起来似乎随时都可能折断，可要小心使用了。		100	1	0	\script\task\lord\trea_box_key.lua	0	1	1	0	0
一把生锈的钥匙	6	1	1368	\spr\item\questkey\taskobj092.spr	41	1	1	用来打开宝箱的钥匙，上面布满了锈，似乎是从哪个水沟里捡来的。<enter>用它来开锁的话，可不要抱太大的希望。		200	1	0	\script\task\lord\trea_box_key.lua	0	1	1	0	0
一把普通的钥匙	6	1	1369	\spr\item\questkey\taskobj092-1.spr	41	1	1	用来打开宝箱的钥匙，随便任何一个工匠都能把它打造出来，只要稍微费一点功夫就可以把锁打开。		500	1	0	\script\task\lord\trea_box_key.lua	0	1	1	0	0
一把坚固的钥匙	6	1	1370	\spr\item\questkey\taskobj092-1.spr	41	1	1	用来打开宝箱的钥匙，似乎是用生铁打造的，不是一般的工匠能做得出来。<enter>外表看上去很坚固，应该很容易的可以把锁打开。		1000	1	0	\script\task\lord\trea_box_key.lua	0	1	1	0	0
一把闪亮的钥匙	6	1	1371	\spr\item\questkey\taskobj092-2.spr	41	1	1	用来打开宝箱的钥匙，看上去似乎是用精银合金打造，理论上应该能打开世间所有的锁。		2000	1	0	\script\task\lord\trea_box_key.lua	0	1	1	0	0
技能白驹丸	6	1	1372	\spr\item\medecine\baijuwan_skillsl.spr	19	1	1	一颗技能白驹丸，使用后可在8小时的离线托管时间内自动提升90级技能的熟练度。		10000	1	0	\script\item\jinengbaijuwan.lua	0	1	1	0	0
白驹丸礼包	6	1	1373	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用,可获得5个白驹丸。		10000	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0
技能白驹丸礼包	6	1	1374	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用,可获得5个技能白驹丸。		10000	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	0
朝廷赦书	6	1	1375	\spr\item\ib\chaotingzhaoshu.spr	341	1	1	右键点击使用，可立即清除当前人物身上所有PK值。		2000	1	1	\script\item\ib\chaotingzhaoshu.lua	0	1	1	0	0
金石	6	1	1376	\spr\item\questkey\golden_stone.spr	347	1	1	用来和10张山河社稷地图一起交给穆老换取黄金宝箱		1000	1	0	\script\item\noscript.lua	0	1	1	0	0
黄金宝箱	6	1	1377	\spr\item\script\item_goldenbox.spr	367	2	2	传说中的黄金宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品。<enter>请确保您背包中有足够的空间放置宝物。<enter><color=blue>使用期限：2007年3月31日		1000	1	0	\script\item\vn\goldenbox.lua	0	1	1	0	0
白银宝箱	6	1	1378	\spr\item\script\item_silverbox.spr	367	2	2	传说中的白银宝箱，上面雕刻着神秘的花纹。使用后可以随机得到一样物品。<enter>请确保您背包中有足够的空间放置宝物。<enter><color=blue>使用期限：2007年3月31日		1000	1	0	\script\item\vn\silverbox.lua	0	1	1	0	0
特效九转还魂丹锦囊	6	1	1379	\spr\item\obj_item_jixiang.spr	347	1	1	右键点击使用，打开后获得10个<enter>保质期7天的特效九转还魂丹。		20	1	0	\script\item\ib\texiaowuhua_jinnang.lua	0	1	1	0	0
补天石碎片（特大）	6	1	1380	\spr\item\magic\butianshi_teda.spr	372	1	1	打造顶级装备的必需品。<enter>极难求得的一块石头，传说为女娲补天之石。		20	1	0	\script\item\noscript.lua	0	1	1	0	0
特效大白驹丸礼包	6	1	1381	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1
特效技能大白驹丸礼包	6	1	1382	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1
完美安邦材料包	6	1	1383	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以获得10颗特效大白驹丸。		5	1	0	\script\item\xinnianlibao\xinniangift.lua	0	1	1	0	1
百宝箱	6	1	1384	\spr\item\script\item_baibaoxiang.spr	41	1	1	右键点击使用，可获得一个百宝箱。		1000	1	0	\script\item\baibaoxiang.lua	0	1	1	0	0
清明果	6	1	1385	\spr\item\questkey\huihuangzhiguo.spr	377	1	1	清明节美食，80级以上玩家食用后可获得50w经验。（使用截至期到2007年4月30日）		10000	1	0	\script\event\qingmingjie07\item\qingmingguo.lua	0	1	1	0	1
清明饺	6	1	1386	\spr\item\questkey\seed_rose.spr	41	1	1	清明节美食，80级以上玩家食用后可获得100w经验。（使用截至期到2007年4月30日）		20	1	0	\script\event\qingmingjie07\item\qingmingjiao.lua	0	1	1	0	0
清明粽	6	1	1387	\spr\item\questkey\taskobj404.spr	366	1	1	清明节美食，80级以上玩家食用后可获得150w经验。（使用截至期到2007年4月30日）		100	1	0	\script\event\qingmingjie07\item\qingmingzong.lua	0	1	1	0	0
武林令	6	1	1388	\spr\item\questkey\006.spr	336	1	1	武林盟传人向各个帮会收集的令牌。		100	1	1	\script\item\noscript.lua	0	1	1	0	0
替身纸人	6	1	1389	\spr\item\script\tisheng.spr	41	1	1	一个纸扎的小人，可以替你抵御一次致命伤害。武林联赛场地禁止携带。		100000	1	1	\script\item\tisheng.lua	0	1	1	0	0
《北斗长生术-基础篇》	6	1	1390	\spr\item\questkey\obj_item_lection.spr	341	1	1	传说中的绝世神功，右键使用可学会北斗长生术基础。<enter>160级以上角色可使用。		100	1	0	\script\item\jiayi_shengong.lua	0	1	1	0	0
续筋接脉散锦囊	6	1	1391	\spr\item\twzhuanyun\zhuanyunbao_small.spr	449	1	1	打开锦囊可获得20个<enter>保质期7天的续筋接脉散。		100	1	0	\script\item\ib\xujinjiemai_jinnang.lua	0	1	1	0	0
闯关礼品盒	6	1	1392	\spr\item\obj_item_giftb.spr	344	1	1	右键点击使用，可以随机得到一个宝物。		100	1	0	\script\item\giftbox.lua	0	1	1	0	0
装货的袋子	6	1	1393	\spr\item\script\item_daizi.spr	344	1	1	拿到城市小贩处，可以换来做烧饼的原料。		100	1	0	\script\item\noscript.lua	0	1	1	0	0
做饼的原料	6	1	1394	\spr\item\mid_autumn\mianfen.spr	41	1	1	右键点击使用，开始制作烧饼。<enter>培育地图：七大城市、新手村及四大景区<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年04月24日<color>		100	1	0	\script\item\cookies2007\cookies_ma.lua	0	1	1	0	0
完美的烧饼	6	1	1395	\spr\item\script\item_shaobing_pure.spr	41	1	1	右键点击使用，可获得80w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0
普通的烧饼	6	1	1396	\spr\item\script\item_shaobing_norm.spr	41	1	1	右键点击使用，可获得50w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0
未熟的烧饼	6	1	1397	\spr\item\script\item_shaobing_unbk.spr	41	1	1	右键点击使用，可获得30w经验。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年05月06日<color>		100	1	0	\script\item\cookies2007\cookies.lua	0	1	1	0	0
大补神丹	6	1	1398	\spr\item\script\bushendan.spr	372	1	1	右键点击使用，可获得100w经验。		100	1	0	\script\item\bushendan.lua	0	1	1	0	0
十全大补神丹	6	1	1399	\spr\item\script\shiquan_bushendan.spr	372	1	1	右键点击使用，可获得1000w经验。		100	1	0	\script\item\bushendan.lua	0	1	1	0	0
帮会精英赛令牌	6	1	1400	\spr\item\questkey\taskobj087.spr	372	1	1	右键点击使用，可获得1000w经验。		100	1	0	\script\item\noscript.lua	0	1	1	0	0
蓬莱仙草露	6	1	1401	\spr\item\medecine\penglaixiancao.spr	370	1	1	右键点击使用，可增加24小时托管经验翻倍效果。<enter>重复使用时间可累计。与仙草露效果不叠加。		100	1	0	\script\item\penglai_xiancao.lua	0	1	1	0	0
神功大成包	6	1	1402	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，打开后可以获得<enter><color=green>5个技能福袋、2个旺旺转运包（大）、1个9级玄晶矿石、<enter>1个技能大白驹丸礼盒、1个特效大白驹丸、1枚世足钻戒<color>。		100	1	0	\script\item\tw\jinengxubaobao.lua	0	1	1	0	0
黄金图谱-侠骨之铁血衫	6	1	1403	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之铁血衫。<enter><color=yellow>所需材料：<enter>1个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-侠骨之多情环	6	1	1404	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之多情环。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-侠骨之丹心戒	6	1	1405	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之丹心戒。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-侠骨之情意结	6	1	1406	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到侠骨之情意结。<enter><color=yellow>所需材料：<enter>3个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-柔情之巾帼霓裳	6	1	1407	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之巾帼霓裳。<enter><color=yellow>所需材料：<enter>1个补天石碎片（大）<enter>1个补天石碎片（中）<enter>1个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-柔情之淑女项链	6	1	1408	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之淑女项链。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-柔情之凤仪戒指	6	1	1409	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之凤仪戒指。<enter><color=yellow>所需材料：<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
黄金图谱-柔情之慧心玉佩	6	1	1410	\spr\item\script\item_huangjintupu.spr	38	1	1	在柳乙处合成后得到柔情之慧心玉佩。<enter><color=yellow>所需材料：<enter>1个补天石碎片（中）<enter>3个补天石碎片（小）		100	1	0	\script\item\huangjin_tupu.lua	0	1	1	0	0
功劳令	6	1	1411	\spr\item\questkey\006.spr	336	1	1	用一个功劳令和一个宋金勋章可以在武林盟传人处换取幸运礼包。		100	1	0	\script\item\noscript.lua	0	1	1	0	0
宋金勋章	6	1	1412	\spr\item\nanfangjiefangri_2007\songjinxunzhang.spr	41	1	1	用一个功劳令和一个宋金勋章可以在武林盟传人处换取幸运礼包。		100	1	0	\script\item\noscript.lua	0	1	1	0	0
幸运礼包	6	1	1413	\spr\item\obj_item_jixiang.spr	347	1	1	右键点击使用，可以随机得到一个宝物。<enter>限50级以上充值用户使用。<enter><color=blue>使用截至日期：2007年5月13日<color>		100	1	0	\script\item\xingyunlibao.lua	0	1	1	0	0
战功花	6	1	1414	\spr\item\qixi_2006\huahuan.spr	41	1	1	右键点击使用，可获得150w经验。<enter>限50级以上充值用户使用。<enter>使用可获得的总经验上限为3亿<enter><color=blue>使用截至日期：2007年5月31日<color>		2000	1	0	\script\item\zhangonghua.lua	0	1	1	0	0
武夷红袍	6	1	1415	\spr\item\mayday07\wuyihongpao.spr	41	1	1	武夷山出产的优质名茶，可以上贡朝廷，也可以换取“优质茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		100	1	1	\script\item\noscript.lua	0	1	1	0	0
点苍普洱	6	1	1416	\spr\item\mayday07\diancangpuer.spr	41	1	1	点苍山出产的优质名茶，可以上贡朝廷，也可以换取“优质茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		100	1	1	\script\item\noscript.lua	0	1	1	0	0
青城雪芽	6	1	1417	\spr\item\mayday07\qingchengxueya.spr	41	1	1	青城山出产的优质名茶，可以上贡朝廷，也可以换取“优质茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		100	1	1	\script\item\noscript.lua	0	1	1	0	0
华山银毫	6	1	1418	\spr\item\mayday07\huashanyinhao.spr	41	1	1	华山出产的优质名茶，可以上贡朝廷，也可以换取“优质茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		100	1	1	\script\item\noscript.lua	0	1	1	0	0
红茶	6	1	1419	\spr\item\mayday07\hongcha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
绿茶	6	1	1420	\spr\item\mayday07\lvcha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
乌龙茶	6	1	1421	\spr\item\mayday07\wulongcha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
白茶	6	1	1422	\spr\item\mayday07\baicha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
黑茶	6	1	1423	\spr\item\mayday07\heicha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
黄茶	6	1	1424	\spr\item\mayday07\huangcha.spr	41	1	1	城市郊外出产的普通茶叶，可以换取“普通茶饼”煮茶品茗，获得一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\item\noscript.lua	0	1	1	0	0
普通茶饼	6	1	1425	\spr\item\mayday07\putongchabing.spr	377	1	1	煮茶品茗的必备原料，<color=yellow>普通茶叶<color>制成，煮茶后可得到一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\event\mayday07\item\chabing.lua	0	1	1	0	0
优质茶饼	6	1	1426	\spr\item\mayday07\youzhichabing.spr	377	1	1	煮茶品茗的必备原料，<color=yellow>优质名茶<color>制成，煮茶后可得到一定的经验值。<enter>（使用截止时间到2007年5月7日24点，限80级以上充卡用户使用）。		60	1	1	\script\event\mayday07\item\chabing.lua	0	1	1	0	0
子母令	6	1	1427	\spr\item\questkey\obj_item_hehuan.spr	348	1	1	用于开启子母袋和给子母袋续费。<enter>每个子母令可以给子母袋续费七天。		0	1	1	\script\item\noscript.lua	0	1	1	0	0
无双令	6	1	1428	\spr\item\questkey\006.spr	336	1	1	兑换无双杀阵的必须材料。		0	1	1	\script\item\noscript.lua	0	1	1	0	0
茶树	6	1	1429	\spr\item\christmas2006\xmasbranch.spr	467	1	1	立夏新茶。		20	1	0	\script\event\mayday07\item\chashu.lua	0	1	1	0	0
紫砂杯	6	1	1430	\spr\item\mayday07\zishabei.spr	41	1	1	紫砂精致而成的茶杯。放在背包中煮茶品茗时<enter>可得到双倍经验。五一活动专用。不可交易。		20	1	0	\script\item\noscript.lua	0	1	1	0	0
天山雪莲	6	1	1431	\spr\item\script\tianshanxuelian.spr	41	1	1	90级以下玩家右键点击使用，可迅速提升功力。		25	1	0	\script\item\tianshanxuelian.lua	0	1	1	0	0
帮会精英令牌	6	1	1432	\spr\item\questkey\taskobj126.spr	41	1	1	凭此令牌可以报名加入帮会精英战队。		100	1	0	\script\missions\tong_leitai\item\item_tonglingpai.lua	0	1	1	0	0
石竹花	6	1	1433	\spr\item\script\shizhuhua.spr	41	1	1	一朵芬芳美丽的石竹花，将其送给扬州的宋婆婆（212，186）会收获意想不到的惊喜。<enter>使用截至到2007年5月14日24：00。		25	1	0	\script\item\noscript.lua	0	1	1	0	0
长效大白驹	6	1	1434	\spr\item\script\baijuwan_changxiao.spr	19	1	1	一颗长效大白驹丸，使用后可获得80小时的离线托管时间。获得经验的速度跟大白驹丸一致。		1	1	0	\script\item\longbaijuwan.lua	0	1	1	0	1
金猪黄金包	6	1	1435	\spr\item\twzhuanyun\zhuanyunbao_small.spr	19	1	1	点击使用可以获得意外惊喜。		1	1	0	\script\item\payact_200705\goldpigbag.lua	0	1	1	0	1
玻璃纸	6	1	1436	\spr\item\script\bolizhi.spr	41	1	1	剑网2周年生日活动物品<enter>玩家可以带玫瑰花，红色蝴蝶结和玻璃纸到“武林使者”处换成奖励。		25	1	0	\script\item\longbaijuwan.lua	0	1	1	0	0
红色蝴蝶结	6	1	1437	\spr\item\script\hongse_hudiejie.spr	41	1	1	剑网2周年生日活动物品<enter>玩家可以带玫瑰花，红色蝴蝶结和玻璃纸到“武林使者”处换成奖励。		25	1	0	\script\item\noscript.lua	0	1	1	0	0
红色玫瑰花	6	1	1438	\spr\item\script\hongse_meiguihua.spr	41	1	1	剑网2周年生日活动物品<enter>玩家可以带玫瑰花，红色蝴蝶结和玻璃纸到“武林使者”处换成奖励。		25	1	1	\script\item\noscript.lua	0	1	1	0	0
白色礼品盒	6	1	1439	\spr\item\script\baise_lipinhe.spr	41	1	1	右键点击使用可以获得礼品。<enter><color=blue>使用截至日期：2007年月07日11日<color>		25	1	0	\script\item\act2years2007_giftbox.lua	0	1	1	0	0
黄色礼品盒	6	1	1440	\spr\item\script\huangse_lipinhe.spr	41	1	1	右键点击使用可以获得礼品。<enter><color=blue>使用截至日期：2007年月07日11日<color>		25	1	0	\script\item\act2years2007_giftbox.lua	0	1	1	0	0
蓝色礼品盒	6	1	1441	\spr\item\script\lanse_lipinhe.spr	41	1	1	右键点击使用可以获得礼品。<enter><color=blue>使用截至日期：2007年月07日11日<color>		25	1	0	\script\item\act2years2007_giftbox.lua	0	1	1	0	0
普通蛋糕饼	6	1	1442	\spr\item\script\putong_dangaobing.spr	41	1	1	右键点击使用可获得20万经验。<enter><color=blue>使用截至日期：2007年07月31日<color>		25	1	0	\script\item\usecake.lua	0	1	1	0	0
中等蛋糕饼	6	1	1443	\spr\item\script\zhongdeng_dangaobing.spr	41	1	1	右键点击使用可获得50万经验。<enter><color=blue>使用截至日期：2007年07月31日<color>		25	1	0	\script\item\usecake.lua	0	1	1	0	0
特殊蛋糕饼	6	1	1444	\spr\item\script\teshu_dangaobing.spr	41	1	1	右键点击使用可获得100万经验。<enter><color=blue>使用截至日期：2007年07月31日<color>		25	1	0	\script\item\usecake.lua	0	1	1	0	0
高级长生露	6	1	1445	\spr\item\script\gaoji_changshenglu.spr	19	1	1	155-159等级的未转生玩家，使用以后，立即升1级。		25	1	0	\script\item\changshenglu\changshenglu.lua	0	1	1	0	1
普通长生露	6	1	1446	\spr\item\script\putong_changshenglu.spr	19	1	1	150-154等级的未转生玩家，使用以后，立即升1级。		25	1	0	\script\item\changshenglu\changshenglu.lua	0	1	1	0	1
慈母爱心包	6	1	1447	\spr\item\script\item_chrismasbox.spr	377	1	1	右键点击使用，可以增加福缘值并获得一个珍贵物品。		100	1	0	\script\item\cimuaixinbao.lua	0	1	1	0	0
漠北传送卷	6	1	1448	\spr\item\questkey\quyuanmifang.spr	368	1	1	使用后可直接传送到漠北草原。		100	1	0	\script\item\mobei_portal.lua	0	1	1	0	1
石斛兰	6	1	1449	spr\item\script\shihulan.spr	19	1	1	右键点击使用可随机获得300万/500万/800万的经验奖励<enter><color=blue>使用时间截至到2007年6月30日24：00<color>		25	1	0	\script\item\shihulan.lua	0	1	1	0	1
潜龙宝箱	6	1	1450	\spr\item\oldbox\oldbox.spr	433	1	1	皇家赏赐给有功之人的宝盒，用栖凤钥匙打开即可得到其中的绝世珍宝<enter><color=green>（有可能开出北京之梦、雅典之魂）<color>		10000	1	0	\script\item\newbox.lua	0	1	1	0	0
栖凤钥匙	6	1	1451	\spr\item\questkey\taskobj092-2.spr	41	1	1	特制的钥匙，用来打开潜龙宝箱。		2000	1	0	\script\item\noscript.lua	0	1	1	0	0
红颜豆沙粽	6	1	1452	\spr\item\questkey\taskobj405.spr	366	1	1	吃过以后可以瞬间增加10000的经验<enter><color=yellow>限80级以上充卡用户使用<color><enter><color=blue>使用日期截止到2007年7月21日24点<color>		25	1	0	\script\item\duanwujie_zongzi.lua	0	1	1	0	1
蜜枣芙蓉粽	6	1	1453	\spr\item\questkey\taskobj405.spr	366	1	1	吃过以后可以瞬间增加20000点经验<enter><color=yellow>限80级以上充卡用户使用<color><enter><color=blue>使用日期截止到2007年7月21日24点<color>		25	1	0	\script\item\duanwujie_zongzi.lua	0	1	1	0	1
香菇如意粽	6	1	1454	\spr\item\questkey\taskobj405.spr	366	1	1	吃过以后可以瞬间增加50000点经验<enter><color=yellow>限80级以上充卡用户使用<color><enter><color=blue>使用日期截止到2007年7月21日24点<color>		25	1	0	\script\item\duanwujie_zongzi.lua	0	1	1	0	1
