Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2
Minh Ph­îng Cöu Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(1)	0	99999	10	0																						36	170	39	9															288	229	1		
Minh Ph­îng Cöu Thiªn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(2)	2	99999	10	0	30	360	360	31	85	85																36	170	39	9															288	229	2		
Minh Ph­îng Cöu Thiªn Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(3)	1	99999	10	0																						36	170	39	9															288	229	3		
Minh Ph­îng Cöu Thiªn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(4)	3	99999	10	0	30	135	135	31	80	80																36	170	39	9															288	229	4		
Minh Ph­îng Cöu Thiªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(5)	4	99999	10	0	30	160	160	31	80	80																36	170	39	9															288	229	5		
Minh Ph­îng Cöu Thiªn Hµn ThiÕt	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(6)	0	99999	10	0	30	720	720	31	90	90																36	170	39	9															288	229	6		
Minh Ph­îng Cöu Thiªn §¹o Bµo	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	170	39	9															288	229	7		
Minh Ph­îng Cöu Thiªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(8)	1	99999	10	0	30	160	160	31	80	80																36	170	39	9															288	229	8		
Minh Ph­îng Cöu Thiªn Béi	0	9	1	\spr\item\equip\waist\obj-waist17.spr	36	1	2	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(9)	3	99999	10	0																						36	170	39	9															288	229	9		
Minh Ph­îng Cöu Thiªn H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n ®ao ph¸p cÊp Minh Ph­îng(10)	4	99999	10	0																						36	170	39	9															288	229	10		
Minh Ph­îng Tham Th­¬ng Phï	0	4	1	\spr\item\equip\nick\obj-neck18.spr	36	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(1)	3	99999	10	0																						36	170	39	9															289	230	1		
Minh Ph­îng Tham Th­¬ng §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap06-3.spr	28	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(2)	4	99999	10	0	30	360	360	31	85	85																36	170	39	9															289	230	2		
Minh Ph­îng Tham Th­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring09.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(3)	0	99999	10	0																						36	170	39	9															289	230	3		
Minh Ph­îng Tham Th­¬ng Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle13.spr	34	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(4)	2	99999	10	0	30	135	135	31	80	80																36	170	39	9															289	230	4		
Minh Ph­îng Tham Th­¬ng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash09.spr	32	2	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(5)	1	99999	10	0	30	160	160	31	80	80																36	170	39	9															289	230	5		
Minh Ph­îng Tham Th­¬ng §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth06-3.spr	24	2	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(6)	3	99999	10	0	30	720	720	31	90	90																36	170	39	9															289	230	6		
Minh Ph­îng Tham Th­¬ng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(7)	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	170	39	9															289	230	7		
Minh Ph­îng Tham Th­¬ng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(8)	0	99999	10	0	30	160	160	31	80	80																36	170	39	9															289	230	8		
Minh Ph­îng Tham Th­¬ng Béi	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(9)	2	99999	10	0																						36	170	39	9															289	230	9		
Minh Ph­îng Tham Th­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring08.spr	37	1	1	Bé trang bÞ C«n L«n kiÕm ph¸p cÊp Minh Ph­îng(10)	1	99999	10	0																						36	170	39	9															289	230	10		
§»ng Long Bå §Ò Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(1)	2	99999	10	0																						36	180	39	0															290	231	1		
§»ng Long Bå §Ò T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(2)	1	99999	10	0	30	360	360	31	85	85																36	180	39	0															290	231	2		
§»ng Long Bå §Ò ??ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(3)	3	99999	10	0																						36	180	39	0															290	231	3		
§»ng Long Bå §Ò Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(4)	4	99999	10	0	30	135	135	31	80	80																36	180	39	0															290	231	4		
§»ng Long Bå §Ò Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash06.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(5)	0	99999	10	0	30	160	160	31	80	80																36	180	39	0															290	231	5		
§»ng Long Bå §Ò Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(6)	2	99999	10	0	30	720	720	31	90	90																36	180	39	0															290	231	6		
§»ng Long Bå §Ò TriÒn Thñ	0	0	6	\spr\item\equip\bangle\obj-bangle15.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	180	39	0															290	231	7		
§»ng Long Bå §Ò T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(8)	3	99999	10	0	30	160	160	31	80	80																36	180	39	0															290	231	8		
§»ng Long Bå §Ò Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(9)	4	99999	10	0																						36	180	39	0															290	231	9		
§»ng Long Bå §Ò HuyÒn Trang ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp §»ng Long(10)	0	99999	10	0																						36	180	39	0															290	231	10		
§»ng Long Nh­ Lai PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	180	39	0															291	232	1		
§»ng Long Nh­ Lai T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	180	39	0															291	232	2		
§»ng Long Nh­ Lai §¹i Tõ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	180	39	0															291	232	3		
§»ng Long Nh­ Lai Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle20.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	180	39	0															291	232	4		
§»ng Long Nh­ Lai Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash07.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(5)	3	99999	10	0	30	160	160	31	80	80																36	180	39	0															291	232	5		
§»ng Long Nh­ Lai Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(6)	4	99999	10	0	30	720	720	31	90	90																36	180	39	0															291	232	6		
§»ng Long Nh­ Lai ##	0	0	2	\spr\item\equip\closeweapon\obj-staff13.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	180	39	0															291	232	7		
§»ng Long Nh­ Lai T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(8)	2	99999	10	0	30	160	160	31	80	80																36	180	39	0															291	232	8		
§»ng Long Nh­ Lai Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist19.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(9)	1	99999	10	0																						36	180	39	0															291	232	9		
§»ng Long Nh­ Lai ##ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp §»ng Long(10)	3	99999	10	0																						36	180	39	0															291	232	10		
§»ng Long V« L­îng H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	180	39	0															292	233	1		
§»ng Long V« L­îng T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap03-3.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	180	39	0															292	233	2		
§»ng Long V« L­îng ##ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	180	39	0															292	233	3		
§»ng Long V« L­îng Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	180	39	0															292	233	4		
§»ng Long V« L­îng Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash08.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(5)	3	99999	10	0	30	160	160	31	80	80																36	180	39	0															292	233	5		
§»ng Long V« L­îng Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth03-3.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(6)	4	99999	10	0	30	720	720	31	90	90																36	180	39	0															292	233	6		
§»ng Long V« L­îng Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	180	39	0															292	233	7		
§»ng Long V« L­îng T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(8)	2	99999	10	0	30	160	160	31	80	80																36	180	39	0															292	233	8		
§»ng Long V« L­îng Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(9)	1	99999	10	0																						36	180	39	0															292	233	9		
§»ng Long V« L­îng TiÓu Thõa ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp §»ng Long(10)	3	99999	10	0																						36	180	39	0															292	233	10		
§»ng Long Khai Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(1)	0	99999	10	0																						36	180	39	1															293	234	1		
§»ng Long Khai Thiªn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(2)	2	99999	10	0	30	360	360	31	85	85																36	180	39	1															293	234	2		
§»ng Long Khai Thiªn Nh­ ý ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(3)	1	99999	10	0																						36	180	39	1															293	234	3		
§»ng Long Khai Thiªn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(4)	3	99999	10	0	30	135	135	31	80	80																36	180	39	1															293	234	4		
§»ng Long Khai Thiªn Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash16.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(5)	4	99999	10	0	30	160	160	31	80	80																36	180	39	1															293	234	5		
§»ng Long Khai Thiªn Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(6)	0	99999	10	0	30	720	720	31	90	90																36	180	39	1															293	234	6		
§»ng Long Khai Thiªn ThÇn Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha04.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	180	39	1															293	234	7		
§»ng Long Khai Thiªn Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes09.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(8)	1	99999	10	0	30	160	160	31	80	80																36	180	39	1															293	234	8		
§»ng Long Khai Thiªn Qua Chïy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(9)	3	99999	10	0																						36	180	39	1															293	234	9		
§»ng Long Khai Thiªn TÞch Tµ ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp §»ng Long(10)	4	99999	10	0																						36	180	39	1															293	234	10		
§»ng Long TÞch §Þa H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(1)	0	99999	10	0																						36	180	39	1															294	235	1		
§»ng Long TÞch §Þa Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(2)	2	99999	10	0	30	360	360	31	85	85																36	180	39	1															294	235	2		
§»ng Long TÞch §Þa #?ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(3)	1	99999	10	0																						36	180	39	1															294	235	3		
§»ng Long TÞch §Þa Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle19.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(4)	3	99999	10	0	30	135	135	31	80	80																36	180	39	1															294	235	4		
§»ng Long TÞch §Þa Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash17.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(5)	4	99999	10	0	30	160	160	31	80	80																36	180	39	1															294	235	5		
§»ng Long TÞch §Þa Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(6)	0	99999	10	0	30	720	720	31	90	90																36	180	39	1															294	235	6		
§»ng Long TÞch §Þa Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear04.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	180	39	1															294	235	7		
§»ng Long TÞch §Þa Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(8)	1	99999	10	0	30	160	160	31	80	80																36	180	39	1															294	235	8		
§»ng Long TÞch §Þa Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(9)	3	99999	10	0																						36	180	39	1															294	235	9		
§»ng Long TÞch §Þa TrÇm H­¬ng ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp §»ng Long(10)	4	99999	10	0																						36	180	39	1															294	235	10		
§»ng Long Hçn Nguyªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck17.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(1)	0	99999	10	0																						36	180	39	1															295	236	1		
§»ng Long Hçn Nguyªn Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap15-3.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(2)	2	99999	10	0	30	360	360	31	85	85																36	180	39	1															295	236	2		
§»ng Long Hçn Nguyªn ??ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring06.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(3)	1	99999	10	0																						36	180	39	1															295	236	3		
§»ng Long Hçn Nguyªn Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle18.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(4)	3	99999	10	0	30	135	135	31	80	80																36	180	39	1															295	236	4		
§»ng Long Hçn Nguyªn Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash18.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(5)	4	99999	10	0	30	160	160	31	80	80																36	180	39	1															295	236	5		
§»ng Long Hçn Nguyªn Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth15-3.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(6)	0	99999	10	0	30	720	720	31	90	90																36	180	39	1															295	236	6		
§»ng Long Hçn Nguyªn B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade24.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	180	39	1															295	236	7		
§»ng Long Hçn Nguyªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes05.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(8)	1	99999	10	0	30	160	160	31	80	80																36	180	39	1															295	236	8		
§»ng Long Hçn Nguyªn Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist18.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(9)	3	99999	10	0																						36	180	39	1															295	236	9		
§»ng Long Hçn Nguyªn Phông Tinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring07.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp §»ng Long(10)	4	99999	10	0																						36	180	39	1															295	236	10		
§»ng Long Phi Thiªn Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	180	39	4															296	237	1		
§»ng Long Phi Thiªn Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap12-3.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	180	39	4															296	237	2		
§»ng Long Phi Thiªn Minh Ch©u ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring01.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	180	39	4															296	237	3		
§»ng Long Phi Thiªn L­u V©n Tô	0	8	0	\spr\item\equip\bangle\obj-bangle10.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	180	39	4															296	237	4		
§»ng Long Phi Thiªn Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash10.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(5)	3	99999	10	0	30	160	160	31	80	80																36	180	39	4															296	237	5		
§»ng Long Phi Thiªn Nghª Th­êng Vò Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth12-3.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(6)	4	99999	10	0	30	720	720	31	90	90																36	180	39	4															296	237	6		
§»ng Long Phi Thiªn B¶o KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword24.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	180	39	4															296	237	7		
§»ng Long Phi Thiªn Lý	0	5	3	\spr\item\equip\boots\obj-shoes20.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(8)	2	99999	10	0	30	160	160	31	80	80																36	180	39	4															296	237	8		
§»ng Long Phi Thiªn H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist10.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(9)	1	99999	10	0																						36	180	39	4															296	237	9		
§»ng Long Phi Thiªn BÝch Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp §»ng Long(10)	3	99999	10	0																						36	180	39	4															296	237	10		
§»ng Long B¨ng Ph¸ch Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck10.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp §»ng Long(1)	4	99999	10	0																						36	180	39	4															297	238	1		
§»ng Long B¨ng Ph¸ch Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap12-3.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp §»ng Long(2)	0	99999	10	0	30	360	360	31	85	85																36	180	39	4															297	238	2		
§»ng Long B¨ng Ph¸ch L­u Ly ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring10.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp §»ng Long(3)	2	99999	10	0																						36	180	39	4															297	238	3		
§»ng Long B¨ng Ph¸ch TuyÕt ¶nh Tô	0	8	0	\spr\item\equip\bangle\obj-bangle09.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp §»ng Long(4)	1	99999	10	0	30	135	135	31	80	80																36	180	39	4															297	238	4		
